"","ds","dep_var","trend","season","holiday","print_launch","product_launch","solidcolor_launch","mb_status","sale_status","facebook_cost","google_ads_cost","bing_ads_cost","tiktok_cost","influencer_cost","tiktok_influencer_cost","tatari_cost","mntn_cost","dm_cost","email_campaign_delivery","organic_impressions","intercept","depVarHat","solID","cluster","top_sol"
"3007",2022-04-03,1024756,0,-45469.353730712,0,20679.905679242,0,0,-31024.3908818379,17648.3417080707,161133.958552658,145682.306567409,24671.8588656659,52091.1427494579,90866.3318960321,17582.7656726865,99663.2512500086,0,3.19828782156134e-118,174171.025922702,125284.389465018,222292.492654644,1075274.02637104,"1_95_6",3,FALSE
"3008",2022-04-10,1010760,0,-31740.2024763524,0,1477.13611994586,0,0,0,0,173287.10464121,131229.02586951,23307.3840890171,52640.94883176,103203.540627749,8538.85853038206,97670.5434840146,0,2.97008101840711e-269,137015.427395768,117961.228952035,222292.492654644,1036883.48871968,"1_95_6",3,FALSE
"3009",2022-04-17,1048608,0,-221.400778748078,0,0,0,-776.667381271955,-31024.3908818379,0,180604.81637282,128795.452694128,23700.2704215125,53907.4731398649,101583.664805558,17161.0120235648,95306.310306898,0,0,91898.8085667728,115818.024819489,222292.492654644,999045.866763394,"1_95_6",3,FALSE
"3010",2022-04-24,962334,0,19569.6366134094,0,0,0,-1476.62687303557,0,0,167645.917154181,135249.061808959,24586.7396858606,54118.8419907709,80642.3662801851,32.0361709562986,92561.6114544611,0,0,85684.5928383587,115657.472272852,222292.492654644,996564.142051603,"1_95_6",3,FALSE
"3011",2022-05-01,1008991,0,16310.2965296022,0,0,0,-1006.79104979698,0,35296.6834161415,157863.631516774,156969.83681174,26337.1203904969,53796.2454399186,71298.1807781468,813.001329347571,89466.2613479828,0,0,81370.1373041646,122958.055530085,222292.492654644,1033765.15199925,"1_95_6",3,FALSE
"3012",2022-05-08,1075978,0,17498.3533897432,0,0,0,-536.955226558389,0,0,166891.039262865,176397.512454207,30478.388360197,53160.6864805956,66225.6841104653,9967.82344496298,86065.7997522801,0,0,76986.898105682,131684.036786697,222292.492654644,1037111.75957578,"1_95_6",3,FALSE
"3013",2022-05-15,1285122,0,60085.8633656951,0,0,0,-95.8848618854265,0,0,197479.827099293,187285.261381082,28074.2235039411,52090.7455654372,74827.0639001787,3.11902463174582,82415.0813503949,0,0,76545.8485505324,134247.633777996,222292.492654644,1115251.27531194,"1_95_6",3,FALSE
"3014",2022-05-22,1475683,0,143454.520278932,0,0,0,0,0,52945.0251242122,235438.824716921,203573.895052307,25867.4199315815,51158.736984861,68728.219963276,5949.19446556492,78574.0754943955,0,0,94607.1150393253,134440.267088207,222292.492654644,1317029.78679423,"1_95_6",3,FALSE
"3015",2022-05-29,1485880,0,221555.451342807,-105150.387454534,0,0,0,0,70593.366832283,244011.208067146,223461.375704323,29231.557948601,50494.8830503842,65406.4802166018,17247.1869727242,74604.275788246,0,0,100912.28004973,135251.754266504,222292.492654644,1349911.92543946,"1_95_6",3,FALSE
"3016",2022-06-05,1260758,0,246100.412150878,0,0,0,0,-31024.3908818379,0,223780.554127917,223303.628516031,31018.4210323572,49450.9110749751,80732.964140697,9352.43909359872,70565.5941122262,0,0,123446.501832479,136867.164500094,222292.492654644,1385886.69235406,"1_95_6",3,FALSE
"3017",2022-06-12,1785492,0,212809.383724935,0,39882.6752385382,0,0,0,0,227598.48305057,219814.949548599,31857.3518909672,48285.8853252377,72610.6608628437,8395.31499233912,66513.8416229804,0,0,120050.595726953,137928.620229594,222292.492654644,1408040.2548682,"1_95_6",3,FALSE
"3018",2022-06-19,1324483,0,160210.871231956,0,75826.3208238874,-4377.33778734556,-527.366740369846,0,0,255537.734307448,225943.373533053,34776.7624593998,47849.4339838754,62455.4152529654,12244.3421386373,62498.8836537946,0,0,86435.4644648579,138182.290869619,222292.492654644,1379348.68084642,"1_95_6",3,FALSE
"3019",2022-06-26,1429763,0,126208.505971329,0,51699.7641981051,-12813.661522957,-1543.74627635537,0,0,282144.706569565,242597.752505954,34537.0178649365,47966.6282081918,84827.9931964527,4395.80634352504,58563.4849501162,0,0,70794.1189321618,137808.071987362,222292.492654644,1349478.93558303,"1_95_6",3,FALSE
"3020",2022-07-03,1398221,0,113011.623189591,55727.1248983124,27573.2075723227,-8913.85149423097,-1073.91045311678,0,0,288068.721474431,253895.041706366,32932.9065424673,48099.9764218691,97502.1825262779,16420.2735202217,54742.7915842219,0,0,81168.982701097,136315.535895503,222292.492654644,1417763.09873998,"1_95_6",3,FALSE
"3021",2022-07-10,1315327,0,95047.52838565,0,4923.7870664862,-5014.04146550492,-604.074629878187,-31024.3908818379,17648.3417080707,268865.65059257,251571.336187754,32206.7417943864,48023.8304215629,92929.7659123981,1002.21770698981,51064.3459830017,0,0,111207.53347129,134882.734689513,222292.492654644,1295023.7995971,"1_95_6",3,FALSE
"3022",2022-07-17,1252591,0,53096.3807231908,0,39882.6752385382,-1193.81939654879,-143.82729282814,0,0,234053.289440083,242399.503244587,30804.5446261934,47956.4235166327,95017.161131049,9967.82344499573,47548.5065904253,0,0,102335.336327568,134474.376538588,222292.492654644,1258490.86678712,"1_95_6",3,FALSE
"3023",2022-07-24,1138504,0,-5385.80293078592,0,75826.3208238874,0,0,0,0,204676.62218557,232878.142858808,29694.1989617385,48033.01383459,90606.2817408473,1187.38958563061,44209.1408731306,0,0,109327.603693597,134443.971472524,222292.492654644,1187789.37575418,"1_95_6",3,FALSE
"3024",2022-07-31,1000073,0,-54855.4608283569,0,51699.7641981051,0,0,0,0,204160.080762354,225152.52767178,29975.2974165151,48113.7208046202,88288.2558326502,14484.9184070912,41054.473313363,0,0,109375.477938885,127714.629176579,222292.492654644,1107456.17734823,"1_95_6",3,FALSE
"3025",2022-08-07,1094489,0,-71575.5967661837,0,27573.2075723227,0,-1467.03838684703,-31024.3908818379,0,218981.218714467,214561.656769848,31544.242799051,48140.6069017108,79370.6287457634,17291.2640038709,38087.9917728421,0,0,128856.032643844,117344.928649735,222292.492654644,1039977.24519323,"1_95_6",3,FALSE
"3026",2022-08-14,989555,0,-46454.371990653,0,4923.7870664862,-10346.4347700895,-1275.26866307617,0,0,192910.721222926,196380.461861231,30783.3362093165,47706.1467501644,88000.2631817612,5482.94407844134,35309.3402848004,0,0,126947.667836856,112746.848018106,222292.492654644,1005407.93374091,"1_95_6",3,FALSE
"3027",2022-08-21,870487,0,8353.13628985365,0,0,-11142.3143677887,-805.432839837583,0,0,144484.223674101,173108.73920799,26571.8418972009,46034.0896916006,77574.1166227989,16924.2937597685,32715.1498306769,0,0,137994.367802435,112009.42018823,222292.492654644,986114.124411673,"1_95_6",3,FALSE
"3028",2022-08-28,882402,0,55989.4996845324,0,0,-7242.50433906266,-335.597016598993,0,70593.366832283,103030.152017107,145465.073240948,22204.2231567104,43452.1947931907,77256.1847817485,5145.45689580549,30299.7786411399,0,0,152851.609114922,106321.15871309,222292.492654644,1027323.08917046,"1_95_6",3,FALSE
"3029",2022-09-04,842418,0,47355.631867589,-5425.29713744833,0,-3342.69431033661,-9.58848618854265,0,70593.366832283,96635.3326231435,119634.428835057,18837.0123903978,41703.3872427398,82161.3884203948,96.7950002428059,28055.9491031797,0,0,148790.93114482,90706.7320874712,222292.492654644,958085.868267988,"1_95_6",3,FALSE
"3030",2022-09-11,833846,0,-40929.5704231464,0,39882.6752385382,-1830.52307470814,0,0,0,116936.51139287,93407.1804535566,16565.0307360697,41438.3809334442,91333.3579494611,3948.60418508584,25975.2794873967,0,0,135014.377365351,77356.632095311,222292.492654644,821390.428993874,"1_95_6",3,FALSE
"3031",2022-09-18,782086,0,-169313.55915652,0,75826.3208238874,-8515.91169538137,0,-31024.3908818379,0,126591.32475856,68140.4914077338,15461.0061505652,40756.2697204329,74789.9352721768,9986.14481823103,24048.7159998911,0,0,135371.822434138,73724.2104218865,222292.492654644,658134.872728408,"1_95_6",3,FALSE
"3032",2022-09-25,508056,0,-248400.467694374,0,51699.7641981051,-11699.4300861781,0,0,0,120084.6000897,59844.9125477589,13961.0614493115,39953.1181257104,54946.4378053234,5631.70823306003,22266.8748984874,0,0,154414.90635474,73299.6825567493,222292.492654644,558295.661133038,"1_95_6",3,FALSE
"3033",2022-10-02,638213,0,-213186.387504688,0,27573.2075723227,-7799.6200574521,0,0,0,128542.91880841,71542.6356829382,12631.6745667419,40502.5784497201,33987.881613156,17139.2350279994,20620.3063961215,0,0,160252.244110553,72147.4657727151,222292.492654644,586246.63309318,"1_95_6",3,FALSE
"3034",2022-10-09,771555,0,-94394.1678118606,-25133.4564518182,34466.5094654034,-3899.81002872605,0,0,0,139820.355915736,87240.0063822054,11638.2628366062,39489.2290154831,21359.4829563006,10187.2622153407,19099.6925129148,0,0,151652.026980171,70878.8244520884,222292.492654644,684696.711094489,"1_95_6",3,FALSE
"3035",2022-10-16,654155,0,-2416.33896034635,0,51699.7641981051,-477.527758619516,-1467.03838684703,0,0,137644.193257296,98852.0762465769,12030.279720343,37895.9903662083,38248.8023631514,135.437244876697,17695.9905011365,0,0,155544.475939774,70501.7929502516,222292.492654644,838180.390336551,"1_95_6",3,FALSE
"3036",2022-10-23,1069448,0,-19748.0961561409,0,27573.2075723227,0,-1275.26866307617,0,52945.0251242122,119435.215362607,100109.630439465,11035.7915583049,40218.6060709652,58859.3577358528,2357.87843271821,16400.5323787274,0,0,185410.150924842,70473.384595596,222292.492654644,886087.90803104,"1_95_6",3,FALSE
"3037",2022-10-30,807437,0,-104975.71523196,0,34466.5094654034,0,-805.432839837583,0,35296.6834161415,102920.255989087,106170.310457993,9667.19667255191,42246.6413380428,61046.0305240117,0.392291968396583,15205.0897652826,0,0,214647.450983493,90975.157821061,222292.492654644,829153.063307883,"1_95_6",3,FALSE
"3038",2022-11-06,1713793,0,-119146.055167766,449065.084822336,51699.7641981051,0,-335.597016598993,0,88241.7085403537,140422.359265461,135567.578236241,10783.682228309,40834.3704928848,82430.2357620825,7.15648750159698e-19,14101.911815318,0,0,330575.900069236,121311.040319993,222292.492654644,1567844.4762206,"1_95_6",3,FALSE
"3039",2022-11-13,731188,0,34898.7860248067,0,27573.2075723227,0,-9.58848618854265,0,17648.3417080707,176616.012411719,150590.237421382,12211.8551655867,39085.9256884048,64141.704295069,2070.11002854542,13083.7427065993,0,0,309483.43559167,135319.775300375,222292.492654644,1205006.03808301,"1_95_6",3,FALSE
"3040",2022-11-20,2793394,0,296956.616068987,618657.297699206,4923.7870664862,0,0,0,229428.44220492,251720.615896261,198074.528845289,19397.8310391772,46889.416855414,90962.9120718055,15013.0071192754,12143.8239312405,0,0,392614.825216756,138020.255508019,222292.492654644,2537095.85217748,"1_95_6",3,FALSE
"3041",2022-11-27,2009951,0,483648.168928195,0,0,0,0,-31024.3908818379,176483.417080707,260246.851119774,224133.503407401,25589.64507939,50057.3220819273,69159.7202245927,14039.4902446146,11275.8855826508,0,0,436304.249476217,137608.904487716,222292.492654644,2079815.25948599,"1_95_6",3,FALSE
"3042",2022-12-04,1584944,0,448827.078881196,0,39882.6752385382,0,0,-31024.3908818379,88241.7085403537,198435.376580109,202326.522951668,24123.7203050481,49336.7031604094,67644.399705047,5904.1413528714,10474.1299375482,0,0,386070.000885199,136061.983753228,222292.492654644,1848596.54306402,"1_95_6",3,FALSE
"3043",2022-12-11,1697501,0,214589.517034317,0,75826.3208238874,0,0,-31024.3908818379,70593.366832283,149157.607550371,187540.490565185,21735.869524715,49962.78490957,50574.7617652989,17114.3710381574,9733.20989096859,0,0,328907.115605449,134803.663242132,222292.492654644,1501807.18055514,"1_95_6",3,FALSE
"3044",2022-12-18,581919,0,-54032.4936744602,0,51699.7641981051,0,0,-31024.3908818379,0,104054.99598148,158794.461717379,17620.1999472097,50501.9817553213,28082.0572833486,2503.60239334648,9048.20419818553,0,0,275597.367608388,134468.341804905,222292.492654644,969606.584986014,"1_95_6",3,FALSE
"3045",2022-12-25,863564,0,-198624.685526331,188220.595800648,27573.2075723227,0,0,0,211780.100496849,81693.9572179801,99946.1700036908,12489.8594786231,50010.4010063148,13847.852600733,7559.68106682301,8414.59099257726,0,0,234403.482586709,134443.87138349,222292.492654644,1094051.57733507,"1_95_6",3,FALSE
"3046",2023-01-01,700012,0,-190651.624406301,102834.35727796,4923.7870664862,0,0,0,247076.78391299,72757.1801956842,78639.907026092,8080.57889204299,51707.5536746219,8827.07723900868,8179.53538330752,7828.22066427191,0,0,298542.822735414,119571.976452623,222292.492654644,1040610.64876885,"1_95_6",3,FALSE
"3047",2023-01-08,590586,0,-120241.888566316,0,0,0,0,0,35296.6834161415,57584.160572756,73927.8302759737,6951.59880943851,51946.4684888616,5660.12041446183,2560.30629679138,7285.28888357715,0,0,287316.440599407,98044.8242199487,222292.492654644,728624.326065685,"1_95_6",3,FALSE
"3048",2023-01-15,828218,0,-86930.0510822239,89742.035829187,52192.1429047537,0,0,0,0,50680.6792736822,64249.206234965,6340.90359471247,49848.8516565541,14526.8761003681,3900.6901718298,6782.31032030907,0,0,258164.973438412,90848.5835942602,222292.492654644,822639.694691453,"1_95_6",3,FALSE
"3049",2023-01-22,777044,0,-114805.210522443,0,72379.6698773471,0,0,-31024.3908818379,0,51792.5166123794,61428.1885088612,6422.44526753931,47940.7188612936,18870.771485735,605.250833065238,6316.09343186882,0,0,222736.935209105,90291.2206330816,222292.492654644,655246.70197064,"1_95_6",3,FALSE
"3050",2023-01-29,609811,0,-162631.321581994,0,48253.1132515647,0,0,0,0,52477.7715639903,64618.1748105611,5186.84290188701,47975.0157384952,13890.4072512552,32.4780164045661,5883.71655807005,0,0,179059.558526912,88129.3612051187,222292.492654644,565167.610896909,"1_95_6",3,FALSE
"3051",2023-02-05,593941,0,-188311.487451117,0,24126.5566257824,0,0,0,0,53353.0598953287,70629.412016531,3531.50681700481,49309.5350906534,20845.0649630877,734.675281681671,5482.50546004634,0,0,157896.398435467,83719.0122466739,222292.492654644,503608.732035784,"1_95_6",3,FALSE
"3052",2023-02-12,561566,0,-185444.113415373,0,2954.27223989172,0,0,0,0,55917.616375807,66818.1532090669,2454.92997113373,51502.4061353593,18994.4732755354,3.30189702670417,5110.01236653781,0,0,175771.113081088,80743.033261281,222292.492654644,497117.691051999,"1_95_6",3,FALSE
"3053",2023-02-19,619856,0,-166544.059874023,-11997.2576216766,0,0,0,-31024.3908818379,0,60014.0024872778,50082.8721117371,2644.82664067311,52570.880372358,19299.8021386761,70.9065203615805,4763.99653742084,0,0,147279.815322093,80022.6951731967,222292.492654644,429476.5815809,"1_95_6",3,FALSE
"3054",2023-02-26,510636,0,-135834.799096774,0,0,0,0,0,0,63451.3870985893,39909.829012127,3294.36867532299,53522.6145611876,18658.319990461,17.8662921335391,4442.406316688,0,0,123437.438173484,82192.1802629985,222292.492654644,475384.103940862,"1_95_6",3,FALSE
"3055",2023-03-05,676609,0,-92001.0248235495,0,27080.8288656741,0,0,0,0,62713.4145845299,50884.3794217818,3409.71620767447,54298.6184768758,11404.0693693935,0.00252635786096574,4143.36262140848,0,0,112923.268576645,86627.2784110855,222292.492654644,543776.406892521,"1_95_6",3,FALSE
"3056",2023-03-12,882591,0,-47302.7648848455,0,79272.9717704278,0,0,0,0,59135.8464348135,67488.366438553,2881.78375761483,54439.4081334503,30544.2496966897,4.6086769922437e-21,3865.14379652932,0,0,91717.0060581173,89537.4873289758,222292.492654644,653871.99118497,"1_95_6",3,FALSE
"3057",2023-03-19,773232,0,-24897.0030451527,0,55146.4151446454,0,0,-31024.3908818379,52945.0251242122,57353.67662698,73255.2557753444,2364.45034651779,53656.2710886887,46064.012324153,5.62386074878204e-70,3606.17175540211,0,0,56500.8182752766,90232.1801811967,222292.492654644,657495.37537007,"1_95_6",3,FALSE
"3058",2023-03-26,521967,0,-31705.3322614555,0,31019.858518863,0,0,0,17648.3417080707,49027.2083253356,64643.3639899282,2190.17594866116,51439.7199112611,29345.7489440356,2.70923520385992e-178,3364.99932085576,0,0,55245.5939508305,90463.2905845532,222292.492654644,584975.461595583,"1_95_6",3,FALSE
"3059",2023-04-02,620251,0,-44923.6447019379,0,7385.6805997293,-8436.32373561145,0,0,0,48016.5322186058,59170.9796471682,2663.22507573416,49774.6696698604,31363.6235169004,0,3140.29868011517,0,0,111060.195120635,91785.4762004947,222292.492654644,573293.204946337,"1_95_6",3,FALSE
"3060",2023-04-09,712058,0,-36178.4201524774,0,0,-11699.4300861781,0,-31024.3908818379,0,60595.9415490936,60554.7418258335,3327.64514005342,52025.006128332,25336.1655487143,0,2930.85086784667,0,0,148311.496558585,93234.2185417103,222292.492654644,589706.317694319,"1_95_6",3,FALSE
"3061",2023-04-16,764583,0,-5851.28411356695,0,0,-7799.6200574521,0,0,0,64882.5604011928,72229.4849333689,4030.44451573693,54590.3794172033,22993.9667273184,0,2735.53619430851,0,0,150654.827720673,93662.2618389808,222292.492654644,674421.050232407,"1_95_6",3,FALSE
"3062",2023-04-23,790696,0,17924.3963250527,0,0,-3899.81002872605,0,0,0,62869.4128021926,92988.8183854605,5602.47552404694,55615.3672470445,19573.6191612578,0,2553.32553940809,0,0,153538.074180774,93694.4675946875,222292.492654644,722752.639385842,"1_95_6",3,FALSE
"3063",2023-04-30,885338,0,17771.5987570566,0,0,-477.527758619516,0,0,0,72894.0364818946,112575.574812203,6687.90269500994,55796.011512234,13455.6791643972,0,2383.27243798155,0,0,111761.385854068,99711.618045008,222292.492654644,714852.044655877,"1_95_6",3,FALSE
