"","solID","mape","decomp.rssd","nrmse","nrmse_test","nrmse_train","facebook_cost","google_ads_cost","bing_ads_cost","tiktok_cost","influencer_cost","tiktok_influencer_cost","tatari_cost","mntn_cost","dm_cost","cluster","top_sol"
"17","1_98_10",0,0.438489310715775,0.359721277695622,0.876473355749858,0.104649010458069,0.455721244123653,0.363615223382268,0.997913412671346,0.365014783085637,0.599730675144606,0.501173340348925,0.129533786589753,0.102540293390847,0.0151981157327141,1,FALSE
"18","1_99_15",0,0.255557120956743,0.401820929206605,0.941687586544225,0.0932773838355979,0.777862188618068,0.214269056939775,0.242090258725996,0.029483887823857,0.470474441766472,0.317227821867795,0.274452314106642,0.0509532360590384,0.296527039343127,3,FALSE
"19","1_99_4",0,0.521917670543399,0.276094865769908,0.798873795674308,0.0975618096903582,0.259204099537891,0.625836760783054,0.384469280226753,0.491591515734502,0.33808209973197,0.862557378719988,0.730655495920259,0.697737322673633,0.418895452930127,2,FALSE
"20","2_102_15",0,0.238717773419949,0.471073932025783,1.09881071694705,0.0882410976584029,1,0.0392310565133086,0.0727159111784033,0.113374729449134,0.846988022546637,0,0.855610665139038,0.441510606645192,0.646200058821724,3,FALSE
"21","2_102_4",0,0.295238202590927,0.391905511334098,1.0032987810695,0.092279107046842,0.774285247064979,0.0954088229356809,0.116895858252489,0.0115089141072506,0.866578632048484,0.0471085884657438,0.454580522149536,0,0.417079513798262,3,FALSE
"22","2_103_15",0,0.290076680898957,0.392912537108736,0.928058723936711,0.0930871227580496,0.711933498149824,0.131218917128046,0.194497520218535,0,0.491473839047597,0.0916556172884181,0.341305539142758,0.000844564853253261,0.29475674968777,3,FALSE
"23","2_104_7",0,0.25789984203326,0.412557654116642,1.03269957174942,0.0915078614157619,0.803518556572634,0.0497231619917402,0.197184353487673,0.0171538749864658,0.852277826794299,0.0426817517145537,0.505895826136696,0.0665626017004688,0.48308377088202,3,FALSE
"24","2_106_18",0,0.294639334044667,0.390130143332942,1.00623695012412,0.0923081163687244,0.781058394751602,0.106753194063068,0.136295331065657,0.0102086613427379,0.867431339376006,0.0409877216148421,0.461410244791236,0,0.405594925561001,3,FALSE
"25","2_79_13",0,0.676493226277993,0.25734002425629,0.722286319604747,0.0966763720469415,0.0288114304881227,1,0.0810818952371695,1,0.378559375439265,0.67350452542972,0.0701029317834179,0.691342437087417,1,4,FALSE
"26","2_91_4",0,0.280202611202636,0.396159935962537,0.911981075541977,0.0921084620332974,0.748244614837613,0.220929996452278,0.0305762067519528,0.0958332780208226,0.655304919349095,0.143114498724577,0.324930709591853,0.214255734836252,0.354463501020501,3,FALSE
