"","rn","cluster","n","boot_mean","boot_se","boot_ci","ci_low","ci_up","sd","dist100"
"19","dm_cost",5,15,0.690236509361855,0.082768269083373,"[0, 1.37]",0,1.3733298669563,0.309690505406296,0.0201283927047363
"20","dm_cost",6,17,2.44788713014652,0.171072519478999,"[0.94, 3.94]",0.944772541826592,3.93532323342361,0.684290077915994,0.0440316247215051
"21","dm_cost",7,14,0.577131264891796,0.178620066305079,"[0, 2.02]",0,2.01678659046651,0.644023807889739,0.0333821636994545
"22","facebook_cost",1,22,2.3890908840471,0.014260326524227,"[2.25, 2.53]",2.24949507300119,2.52769275429467,0.0653490257320569,0.00413025992684438
"23","facebook_cost",2,6,1.93857773551675,0.0207068353459819,"[1.81, 2.07]",1.80757081146998,2.06833670348836,0.0463018914325109,0.00356939065538785
"24","facebook_cost",3,18,2.35632047970325,0.0163810494838513,"[2.21, 2.5]",2.20928031972234,2.50254007314425,0.0675407972803886,0.0043266802826534
"25","facebook_cost",4,6,2.59212553251598,0.0130165896783683,"[2.51, 2.67]",2.51056312078329,2.67448399820388,0.0291059793560536,0.00224376602154232
"26","facebook_cost",5,15,2.3255837280824,0.0193244773003677,"[2.16, 2.49]",2.16441988883231,2.4854660537123,0.0723055732364663,0.00470360920558506
"27","facebook_cost",6,17,2.24063079710713,0.0165938124760569,"[2.1, 2.39]",2.09555881915833,2.3856383569335,0.0663752499042276,0.00427101048064277
"28","facebook_cost",7,14,2.68520243869897,0.00737057754552275,"[2.63, 2.74]",2.62544046501552,2.74459851872683,0.0265749952701658,0.00174048529547111
"29","fig_cost",1,22,0,0,"[0, 0]",0,0,0,0
"30","fig_cost",2,6,0,0,"[0, 0]",0,0,0,0
"31","fig_cost",3,18,0,0,"[0, 0]",0,0,0,0
"32","fig_cost",4,6,0,0,"[0, 0]",0,0,0,0
"33","fig_cost",5,15,0,0,"[0, 0]",0,0,0,0
"34","fig_cost",6,17,0,0,"[0, 0]",0,0,0,0
"35","fig_cost",7,14,0,0,"[0, 0]",0,0,0,0
"36","google_ads_cost",1,22,2.44404213188923,0.0313672122942339,"[2.14, 2.75]",2.13940961087178,2.75133709472504,0.143742624678076,0.00908497710312541
"37","google_ads_cost",2,6,2.03928010133425,0.0887034638105436,"[1.48, 2.6]",1.48310164636588,2.60016456202598,0.198346974920068,0.0152904733888912
"38","google_ads_cost",3,18,2.41518889519129,0.0269287881469232,"[2.17, 2.66]",2.17407239018665,2.65616175690901,0.111030237899645,0.00711262467193587
"39","google_ads_cost",4,6,2.56754283590427,0.0370903995867674,"[2.33, 2.8]",2.33335592140064,2.80044376809268,0.082936654788642,0.00639354703302351
"40","google_ads_cost",5,15,2.35805146181388,0.0164290740076096,"[2.22, 2.5]",2.22308436584227,2.49602790375479,0.0614719661184282,0.00399886333484219
"41","google_ads_cost",6,17,2.17295457086481,0.0271188041609222,"[1.94, 2.41]",1.93523918238283,2.40930806723774,0.108475216643689,0.00697999311254842
"42","google_ads_cost",7,14,2.77144043519078,0.0108985804316187,"[2.68, 2.86]",2.68388395838113,2.86007824226553,0.0392953905759698,0.00257358651551861
"43","influencer_cost",1,22,2.26292502711137,0.0699052801096628,"[1.58, 2.94]",1.57788682954055,2.94163448311916,0.32034623757962,0.020246869987251
"44","influencer_cost",2,6,2.52653648570384,0.0622678015708918,"[2.13, 2.92]",2.13332419171813,2.91747679395571,0.139235037121982,0.0107335623887025
"45","influencer_cost",3,18,2.06973223209393,0.0363778031671127,"[1.74, 2.4]",1.74413058574843,2.39537979889164,0.149989524885934,0.00960836629207155
"46","influencer_cost",4,6,2.3986460535452,0.0472685296764352,"[2.1, 2.7]",2.10326351191302,2.6985268681682,0.105695645552975,0.00814802674102158
"47","influencer_cost",5,15,2.04506973080691,0.0363533887380746,"[1.74, 2.35]",1.74367792591449,2.34763299560882,0.136021925506081,0.00884847394653028
"48","influencer_cost",6,17,2.25864882711944,0.048466880353765,"[1.83, 2.68]",1.8346340260998,2.6818926214775,0.19386752141506,0.0124746832142205
"49","influencer_cost",7,14,2.69910384356633,0.0303590034358331,"[2.45, 2.94]",2.45398233107313,2.94478779912308,0.109460943559884,0.00716896318353256
"50","linkby_cost",1,22,0,0,"[0, 0]",0,0,0,0
"51","linkby_cost",2,6,0,0,"[0, 0]",0,0,0,0
"52","linkby_cost",3,18,0,0,"[0, 0]",0,0,0,0
"53","linkby_cost",4,6,0,0,"[0, 0]",0,0,0,0
"54","linkby_cost",5,15,0,0,"[0, 0]",0,0,0,0
"55","linkby_cost",6,17,0,0,"[0, 0]",0,0,0,0
"56","linkby_cost",7,14,0,0,"[0, 0]",0,0,0,0
"57","mntn_cost",1,22,41.4757942389408,0.483490349138182,"[36.74, 46.17]",36.7360236807634,46.1681985913101,2.21563112270635,0.140034718747064
"58","mntn_cost",2,6,41.876473763704,0.514508315899718,"[38.66, 45.14]",38.656779676913,45.1361000416494,1.15047556934071,0.0886896111456336
"59","mntn_cost",3,18,36.7140676143664,0.705749032792736,"[30.4, 43.04]",30.4035776049301,43.0381641458341,2.90987780738195,0.186407496521898
"60","mntn_cost",4,6,41.9939461814758,2.35998776422022,"[27.06, 56.78]",27.0601077584403,56.7799709923339,5.27709306686415,0.406808579470929
"61","mntn_cost",5,15,40.8367810607386,0.394883966596947,"[37.56, 44.12]",37.5629874361536,44.1233709889928,1.47752051053606,0.0961153997364781
"62","mntn_cost",6,17,41.8472060280113,0.737352310321322,"[35.41, 48.3]",35.411204868153,48.3009984381413,2.94940924128529,0.189783960126857
"63","mntn_cost",7,14,30.0871377740021,0.936713119780195,"[22.47, 37.62]",22.4741359104521,37.6177134048178,3.37736718376733,0.221195069312125
"64","sms_cost",1,22,2.56307009603919,0.234047001823347,"[0.29, 4.86]",0.289384294590234,4.85529189217067,1.07253810203295,0.0677877151681449
"65","sms_cost",2,6,0,0,"[0, 0]",0,0,0,0
"66","sms_cost",3,18,0,0,"[0, 0]",0,0,0,0
"67","sms_cost",4,6,2.99502296858315,0.201012485378911,"[1.74, 4.27]",1.73950161581797,4.27089761046637,0.449477581633428,0.0346500116961136
"68","sms_cost",5,15,0,0,"[0, 0]",0,0,0,0
"69","sms_cost",6,17,0,0,"[0, 0]",0,0,0,0
"70","sms_cost",7,14,3.72655305540135,0.135540845569717,"[2.64, 4.83]",2.6358974406035,4.82714816101458,0.488699468621362,0.0320065621985233
"71","tatari_cost",1,22,0,0,"[0, 0]",0,0,0,0
"72","tatari_cost",2,6,0,0,"[0, 0]",0,0,0,0
"73","tatari_cost",3,18,0,0,"[0, 0]",0,0,0,0
"74","tatari_cost",4,6,0,0,"[0, 0]",0,0,0,0
"75","tatari_cost",5,15,0,0,"[0, 0]",0,0,0,0
"76","tatari_cost",6,17,0,0,"[0, 0]",0,0,0,0
"77","tatari_cost",7,14,0,0,"[0, 0]",0,0,0,0
"78","tiktok_cost",1,22,2.34262147522903,0.039354029211495,"[1.96, 2.73]",1.9597575994006,2.72749595781714,0.180342817763179,0.0113982221610393
"79","tiktok_cost",2,6,3.35327637793298,0.0702524111154261,"[2.91, 3.79]",2.90923278959318,3.79393739775101,0.157089166837355,0.0121099287053792
"80","tiktok_cost",3,18,2.695719960063,0.0636621838536341,"[2.13, 3.27]",2.12718779166722,3.26689232388426,0.262485908386024,0.0168149126160515
"81","tiktok_cost",4,6,3.46535745485857,0.100848550522955,"[2.83, 4.1]",2.83036334356065,4.10037210136833,0.225504214401649,0.0173840119859694
"82","tiktok_cost",5,15,3.3242543158492,0.0596201430467732,"[2.83, 3.82]",2.82658613463234,3.81708217637514,0.223078148631478,0.0145116397879369
"83","tiktok_cost",6,17,3.45776332471997,0.0730925452229672,"[2.82, 4.1]",2.82118701222488,4.09893145845644,0.292370180891869,0.0188129778587404
"84","tiktok_cost",7,14,2.77709762583621,0.047296295435899,"[2.39, 3.16]",2.39449863692394,3.15912453999448,0.170529218333627,0.0111685286842201
"85","tiktok_influencer_cost",1,22,0,0,"[0, 0]",0,0,0,0
"86","tiktok_influencer_cost",2,6,0,0,"[0, 0]",0,0,0,0
"87","tiktok_influencer_cost",3,18,0,0,"[0, 0]",0,0,0,0
"88","tiktok_influencer_cost",4,6,0,0,"[0, 0]",0,0,0,0
"89","tiktok_influencer_cost",5,15,0,0,"[0, 0]",0,0,0,0
"90","tiktok_influencer_cost",6,17,0,0,"[0, 0]",0,0,0,0
"91","tiktok_influencer_cost",7,14,0,0,"[0, 0]",0,0,0,0
