"","ds","dep_var","trend","season","holiday","print_launch","product_launch","solidcolor_launch","mb_status","sale_status","facebook_cost","google_ads_cost","bing_ads_cost","tiktok_cost","influencer_cost","tiktok_influencer_cost","tatari_cost","mntn_cost","dm_cost","sms_cost","cj_cost","fig_cost","linkby_cost","sms_sends","email_campaign_delivery","email_flow_delivery","organic_impressions","intercept","depVarHat","solID","cluster","top_sol"
"3486",2023-01-15,828218,0,-67518.634584526,61118.4295689834,-17929.7917242698,0,0,0,0,382770.124500273,101572.029098009,1077.48036563149,43424.282256742,84455.6636086481,0,0,1.41752330175409e-36,0,12342.8934323805,54.2751990485437,0,0,30948.7827504703,139846.30779992,0,0,0,772161.842271311,"3_95_13",7,FALSE
"3487",2023-01-22,777044,0,-89169.2914149164,0,-24864.8998440345,0,0,4086.77523884904,0,394010.287011676,109207.627926902,1343.87068488758,39223.7779294298,81590.4540851598,0,0,2.41046434628317e-37,0,12334.3202174778,88.3456558530733,0,0,23248.6812078564,98452.2863416049,0,0,0,649552.235040745,"3_95_13",7,FALSE
"3488",2023-01-29,609811,0,-126315.86703552,0,-16576.599896023,0,0,0,0,389678.680422286,112165.671632031,738.2868305604,47261.3602097095,60506.7575159809,0,0,4.09893675646279e-38,0,13442.0291494271,43.587859396611,0,0,12458.2199771176,57413.6194876148,0,0,0,550815.746152581,"3_95_13",7,FALSE
"3489",2023-02-05,593941,0,-146261.670745532,0,-8288.2999480115,0,0,0,0,392707.919369629,122471.549906398,570.676523240384,60706.6393711267,82774.3726212279,0,0,6.97014355735588e-39,0,14448.3428620551,31.5374155872209,0,0,24757.2522318452,61324.1932325388,0,0,0,605242.512840105,"3_95_13",7,FALSE
"3490",2023-02-12,561566,0,-144034.579223942,0,-1014.89387118508,0,0,0,0,399936.787824527,99049.0825556254,449.9843420574,83709.4408312987,71806.5296345276,0,0,1.18525617975318e-39,0,14577.2953569235,12.3791463290951,0,0,40251.8595104852,98058.1053290225,0,0,0,662801.991435669,"3_95_13",7,FALSE
"3491",2023-02-19,619856,0,-129354.893743494,-8170.6809768284,0,0,0,4086.77523884904,0,407925.037395103,75826.9990964274,719.482375873739,81314.3775183072,73503.222480945,0,0,2.01549968100803e-40,0,14593.5990310711,29.3098447304458,0,0,9330.46033180541,33799.5152052565,0,0,0,563603.203798046,"3_95_13",7,FALSE
"3492",2023-02-26,510636,0,-105502.988321067,0,0,0,0,0,0,411328.313938438,79985.6437411598,784.443741461588,96359.1642764383,71925.1561410703,0,0,3.42730882448504e-41,0,19912.325971408,23.9908698773642,0,0,14922.6747423945,36529.4548973027,0,0,0,626268.179998484,"3_95_13",7,FALSE
"3493",2023-03-05,676609,0,-71457.2636174761,0,-9303.19381919658,0,0,0,0,404029.798082047,116551.573608867,686.197374240267,97683.5197594259,48939.7669619811,0,0,5.82805638178921e-42,0,24933.603769854,0.000671551160175596,0,0,22589.7470958185,33906.7684450029,0,0,0,668560.518332115,"3_95_13",7,FALSE
"3494",2023-03-12,882591,0,-36740.092261958,0,-27232.9855434663,0,0,0,0,395891.252513161,119522.480669344,530.156602404163,96513.2392672295,98865.2406245307,0,0,9.91046997184956e-43,0,25583.2816910888,24.366211410169,0,0,105960.326432793,16863.1788785516,0,0,0,795780.445085088,"3_95_13",7,FALSE
"3495",2023-03-19,773232,0,-19337.5205688708,0,-18944.6855954548,0,0,4086.77523884904,46667.8749504338,397383.164371769,118889.806890443,482.458377194332,83046.7260234419,103062.086903026,0,0,1.68525162813849e-43,0,25665.4605747378,121.196702995317,0,0,10424.4851203073,4350.01748361022,0,0,0,755897.846472482,"3_95_13",7,FALSE
"3496",2023-03-26,521967,0,-24625.5548764994,0,-10656.3856474434,0,0,0,15555.9583168113,367818.135542624,94582.3584703891,502.821665075231,52991.1413346342,63270.8612601409,0,0,2.86572993834862e-44,0,25742.9974122472,975.203428450007,0,0,9667.12667209357,14279.2046003911,0,0,0,610103.868178914,"3_95_13",7,FALSE
"3497",2023-04-02,620251,0,-34892.2278668196,0,-2537.2346779627,-16109.590239505,0,0,0,385267.145474335,107870.68171489,713.240383348437,56612.0782474982,81658.1190535943,0,0,4.87310496689383e-45,0,26142.880237383,1029.68096047978,0,0,23127.4038785635,71486.2238768338,0,0,0,700368.401042639,"3_95_13",7,FALSE
"3498",2023-04-09,712058,0,-28099.8055299668,0,0,-22340.6581623324,0,4086.77523884904,0,423542.795981816,104747.650518798,789.045964802199,94264.5238998974,70907.4755634596,0,0,8.28659801490214e-46,0,26193.4085568063,7634.47703958309,0,0,10332.1854154696,66335.586499784,0,0,0,758393.460986966,"3_95_13",7,FALSE
"3499",2023-04-16,764583,0,-4544.69667273618,0,0,-14893.7721082216,0,0,0,409465.089557948,135757.565897074,933.323798356616,106055.829531039,72651.709210175,0,0,1.40911610004472e-46,0,26199.7860001986,15494.3017889969,0,0,48886.2898795471,54411.0205733587,0,0,0,850416.447455735,"3_95_13",7,FALSE
"3500",2023-04-23,790696,0,13921.89180327,0,0,-7446.88605411081,0,0,0,402370.121592344,154763.066086647,1393.84437081348,107694.863983806,68616.8869579463,0,0,2.39616810159543e-47,0,26200.5908195609,20679.6518782946,0,0,41449.9591635339,65613.5649970116,0,0,0,895257.555599117,"3_95_13",7,FALSE
"3501",2023-04-30,885338,0,13803.2138198742,0,0,-911.863598462548,0,0,0,437144.762794898,172651.746417773,1328.1330419118,107634.938382786,55467.0137702473,0,0,4.07462633555973e-48,0,33771.2409602321,15453.2096094132,0,0,22764.8156848255,15719.8584797852,0,0,0,874827.069363283,"3_95_13",7,FALSE
"3502",2023-05-07,1354394,0,11685.1740421038,0,0,0,0,4086.77523884904,0,469896.669415264,204493.978161121,1804.19032335487,108299.886166823,54996.4147850777,0,0,6.92880427019394e-49,0,35989.6786219131,27878.5237203938,0,0,64672.3481496349,43588.9575134654,0,0,0,1027392.596138,"3_95_13",7,FALSE
"3503",2023-05-14,946631,0,37868.6249712554,0,0,0,0,0,31111.9166336225,476572.885276016,180212.2340743,1780.92323015253,90360.7742273985,72758.965403893,0,0,1.1782265332083e-49,0,36268.7836866164,16282.6422662091,0,0,37289.79582075,125680.23514322,0,0,0,1106187.78073343,"3_95_13",7,FALSE
"3504",2023-05-21,952822,0,98843.3195501335,0,0,0,0,0,93335.7499008676,441506.980470433,174753.616375047,1791.01696874757,57335.2719548579,72069.2723125914,0,0,2.00354593580862e-50,0,36303.9885197183,13784.017602906,0,0,107714.640503353,72007.9304695439,0,0,0,1169445.8046282,"3_95_13",7,FALSE
"3505",2022-01-02,654913,0,-153550.63378485,0,0,0,0,0,29460.2266156068,471326.789067563,132186.367359213,0,5207.77208970173,40679.6677922428,0,0,126127.466565236,0,10056.9231151139,338.856179020868,0,0,2427.69690319505,42701.1902382892,0,0,0,706962.322140333,"3_103_6",4,TRUE
"3506",2022-01-09,1098519,0,-93975.7629379613,0,-29305.5696751726,0,0,0,58920.4532312136,519168.825528411,132172.833786923,0,12189.3342193764,60683.4994378704,0,0,58832.2279666346,0,9162.36370183118,2215.35343255542,0,0,147986.70950086,45323.5819279636,0,0,0,923373.850120505,"3_103_6",4,TRUE
"3507",2022-01-16,963182,0,-75469.8289770816,74654.6573456733,-25474.7762535814,0,0,0,147301.133078034,606423.297908793,161555.080060273,0,19425.6591432743,75885.757044886,0,0,19104.2278785056,0,9063.2369949007,1160.81547164932,0,0,1041.90454070787,61659.7010183661,0,0,0,1076330.8652544,"3_103_6",4,TRUE
"3508",2022-01-23,557152,0,-105774.362691044,0,-16089.332370683,0,0,0,0,508756.678200164,144485.133156255,0,30281.9757333843,68108.4120941582,0,0,5260.07933251331,0,9052.01079161347,302.864421156266,0,0,10447.3333907591,62809.3135861005,0,0,0,717640.105644378,"3_103_6",4,TRUE
"3509",2022-01-30,594670,0,-145243.067747277,0,-6703.88848778457,0,0,0,0,490113.718270762,137491.304607176,0,31920.6210721788,47718.0742063201,0,0,1375.39262261223,3010.01773357277,13911.3208154912,549.036659946877,0,0,126.835352923453,105456.999615191,0,0,0,679726.364721112,"3_103_6",4,TRUE
"3510",2022-02-06,893466,0,-162433.729890732,0,-191.539671079559,-18428.7092300118,0,0,0,553297.726841251,160070.341140336,0,23536.4098688387,81471.1104285154,0,0,354.625777795541,4262.16109341083,16714.0868554582,1279.12428165589,0,0,118007.11311549,70566.0947059444,0,0,0,848504.815316874,"3_103_6",4,TRUE
"3511",2022-02-13,836533,0,-156738.612594586,0,0,-19846.302247705,0,0,14730.1133078034,606775.067612104,159092.671184284,0,18386.6597164079,91648.8295438256,0,0,91.1019194133354,4536.90959309072,17042.9419102393,129.118312555511,0,0,90125.0604879586,34286.688514393,0,0,0,860260.247259784,"3_103_6",4,TRUE
