"","solID","mape","decomp.rssd","nrmse","nrmse_test","nrmse_train","facebook_cost","google_ads_cost","bing_ads_cost","tiktok_cost","influencer_cost","tiktok_influencer_cost","tatari_cost","mntn_cost","dm_cost","sms_cost","cj_cost","fig_cost","linkby_cost","cluster","top_sol"
"11","2_68_15",0,0.0485924338714309,0.318323170999138,0.603081317927434,0.0670004443492286,0.790514486051279,0.822628836762408,0,0.112193376650202,0.196048323534873,0,0,0.39018518749043,0.275109011161515,0.927209164779381,0.709112721651134,0,0,5,FALSE
"12","2_69_5",0,0.0420109361151904,0.326300625190455,0.595724783276738,0.0666631111172675,0.793769819811315,0.878533571754909,0.197078199232325,0.0995972313805236,0.416153544200896,0,0,0.290224677170527,0,0.85775510013098,0.610466068154428,0,0,5,FALSE
"13","2_70_16",0,0.0359074161866981,0.329732686230292,0.597945597075643,0.0662858011581558,0.811958249793036,0.842996684003072,0.21376647527549,0.104399649653885,0.356407109333931,0,0,0.308230633202569,0,0.745142759302072,0.612647779428222,0,0,5,FALSE
"14","2_73_10",0,0.048726488634499,0.318202188165757,0.602805482562102,0.0669841727229837,0.789263639421312,0.824553740080347,0,0.111648324323548,0.194951216189273,0,0,0.388519012034511,0.274946746813887,0.934163148505568,0.705320362225804,0,0,5,FALSE
"15","2_73_9",0,0.0442616430818189,0.324498352480126,0.604534685517975,0.0643430745564032,0.97786121676868,0.863291287582524,0.115316907404147,0.151339570573888,0.315877459098653,0,0,0.278465924777314,0,0.292641073105219,0.65480218536828,0,0,5,FALSE
"16","2_74_14",0,0.0426838100776362,0.331941623160943,0.601371286818466,0.0654817545640227,0.769680449970877,0.741660374884468,0.0961217571687847,0.101556843033258,0.384952047626703,0,0,0.30928582239569,0,0.874991672261826,0.698402404196104,0,0,5,FALSE
"17","2_75_1",0,0.0412088170072838,0.324907989612232,0.608942147995348,0.0645655503955077,0.882192429272161,0.946925678388694,0.130120693185361,0.15434157366631,0.364375697242748,0,0,0.309800955214425,0,0.294276950270628,0.64800396070311,0,0,5,FALSE
"18","2_75_7",0,0.0421604324057991,0.320215797960685,0.605548615220903,0.0660544074815702,0.799181210593019,0.805034552327368,0.171215713350021,0.218339245507483,0.196839618261593,0,0,0.415279863110823,0,0.475797029315267,0.723068693299061,0,0,5,FALSE
"19","2_78_1",0,0.0375855133179972,0.329289465029583,0.593100470918957,0.0654703836313523,0.882053466361476,0.95462441427,0.139300093311923,0.140081428769772,0.300747269641894,0,0,0.318481486503018,0,0.627472387724275,0.631969782064874,0,0,5,FALSE
"20","2_78_5",0,0.0485166596353273,0.318443961891721,0.603284124921054,0.0670122126869774,0.793767996519998,0.821765708733807,0,0.112400778477137,0.195632529533732,0,0,0.39029956670928,0.271999098447794,0.914819665962317,0.712356410358649,0,0,5,FALSE
"21","2_79_19",0,0.0453961775340264,0.330777195448838,0.587529758083733,0.0646028890969199,0.733295158787343,0.680803085123773,0.163141870181044,0.06423116689015,0.401103377769854,0,0,0.39764552819291,0,0.915069200633664,0.575224090231529,0,0,5,FALSE
"22","2_80_19",0,0.0449297149924351,0.333068177156286,0.583979706738351,0.0646448753463488,0.770620675235495,0.876495898213256,0.398963200484437,0.0378253628053647,0.306475756094573,0,0,0.0977020189655109,0,0.49651003441778,0.559395711019,0,0,5,FALSE
"23","2_81_4",0,0.0472959059921149,0.325910458082384,0.595277575024453,0.0653467604032244,0.768139199147179,1,0.148057365061664,0.141816124388964,0.413130831408219,0,0,0.295581634983659,0,0.609457670718929,0.631649241866636,0,0,5,FALSE
"24","2_81_7",0,0.0427285816078787,0.330956825105853,0.607965906536864,0.0644227333071829,0.703364057312392,0.875582801185912,0.222058407757675,0.179379399717897,0.366144512211099,0,0,0.290222044732851,0,0.450852766533076,0.680451679077359,0,0,5,FALSE
"25","2_81_8",0,0.0479393582703514,0.320029794584266,0.60752057467376,0.0666779218156702,0.75367605857977,0.796791549974305,0,0.119659527039899,0.230624100628803,0,0,0.454390653966081,0.191317434732178,0.987893019123049,0.730323246651703,0,0,5,FALSE
"26","2_82_16",0,0.051299748503055,0.306847929255634,0.626927734714768,0.0663056958875219,0.769156294988355,0.742688725460075,0,0.258715384644772,0.252607587380094,0,0,0.503245947838649,0.179544443937583,0.366048212905852,0.638604208263527,0,0,5,FALSE
"27","2_82_18",0,0.040747910507493,0.324724125749534,0.608560282382719,0.0646285008053139,0.875622137156616,0.94888758577137,0.131653901319646,0.152482260476633,0.370367029586005,0,0,0.316301090821523,0,0.319759781700555,0.648575005235356,0,0,5,FALSE
