"","bing_ads_cost_alphas","bing_ads_cost_gammas","bing_ads_cost_scales","bing_ads_cost_shapes","cj_cost_alphas","cj_cost_gammas","cj_cost_scales","cj_cost_shapes","dm_cost_alphas","dm_cost_gammas","dm_cost_scales","dm_cost_shapes","email_campaign_delivery_alphas","email_campaign_delivery_gammas","email_campaign_delivery_scales","email_campaign_delivery_shapes","facebook_cost_alphas","facebook_cost_gammas","facebook_cost_scales","facebook_cost_shapes","fig_cost_alphas","fig_cost_gammas","fig_cost_scales","fig_cost_shapes","google_ads_cost_alphas","google_ads_cost_gammas","google_ads_cost_scales","google_ads_cost_shapes","influencer_cost_alphas","influencer_cost_gammas","influencer_cost_scales","influencer_cost_shapes","linkby_cost_alphas","linkby_cost_gammas","linkby_cost_scales","linkby_cost_shapes","mntn_cost_alphas","mntn_cost_gammas","mntn_cost_scales","mntn_cost_shapes","organic_impressions_alphas","organic_impressions_gammas","organic_impressions_scales","organic_impressions_shapes","sms_cost_alphas","sms_cost_gammas","sms_cost_scales","sms_cost_shapes","sms_sends_alphas","sms_sends_gammas","sms_sends_scales","sms_sends_shapes","tatari_cost_alphas","tatari_cost_gammas","tatari_cost_scales","tatari_cost_shapes","tiktok_cost_alphas","tiktok_cost_gammas","tiktok_cost_scales","tiktok_cost_shapes","tiktok_influencer_cost_alphas","tiktok_influencer_cost_gammas","tiktok_influencer_cost_scales","tiktok_influencer_cost_shapes","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","pos","Elapsed","ElapsedAccum","solID","trial","iterNG","iterPar","iterations","coef0","mape.qt10","robynPareto","error_score","cluster","top_sol"
"11",1.7750408,0.5910245002,0.004982988,1.9647922016,0.85939154048,0.4831741752,0.004704492,0.83316804,0.757714145056,0.9374956,0.004000619122,6.08076,1.65006416,0.741338772,0.004670968,1.53061259504,1.64960368,0.77041932,0.0040777122,1.75419930624,2.159116,0.4907101406,0.004825126,1.759568956,1.6825952,0.30128604948,0.004443148,2.3309967428,1.7662624,0.77042688,0.01418347264,1.155531857688,2.0604536,0.78474736312,0.0040955802,6.7818216,2.184236,0.74925048,0.005172058,2.42249479488,2.164992,0.8150323272,0.0058753,2.50555959744,2.3557456,0.5485937448,0.005816446,1.24453191084,1.61773208,0.4905771444,0.004886956,1.229823080556,2.2702656,0.123017862,0.005839292,0.10951392,0.243466896,0.44772732,0.004243642,2.10864508304,1.8589572,0.25141190448,0.004289368,4.01240479156,0.6471176,0.744537588802214,0.550265738574225,-0.579779075095858,0.058036397291049,0.535550200460163,0.79897924643397,0.535550200460163,0.58189437792937,0,433313.186128692,0.0117827,36469502.4741323,1e-04,0,0.100099086761475,208.818591117859,"3_96_3",3,96,3,1808,TRUE,TRUE,2,0.0582389702271374,6,FALSE
"12",1.7750408,0.5910245002,0.004982988,1.9647922016,0.85939154048,0.4831741752,0.004704492,0.83316804,0.757714145056,0.9374956,0.004000619122,6.08076,1.65006416,0.741338772,0.004670968,1.53061259504,1.64960368,0.77041932,0.0040777122,1.75419930624,2.159116,0.4907101406,0.004825126,1.759568956,1.6825952,0.30128604948,0.004443148,2.3309967428,1.7662624,0.77042688,0.01418347264,1.155531857688,2.0604536,0.78937013876,0.004249808,6.4121616,2.0036728,0.733901664,0.005272496,2.39330830176,2.1471416,0.8332504446,0.005888714,2.57405645632,2.3622472,0.5380832064,0.00571903,1.28230002252,1.60238824,0.4947113166,0.00492377,1.23350408688,2.2767944,0.125561202,0.005856346,0.11089464,0.2409276156,0.4623201,0.004240406,2.13815984568,1.8383684,0.24141676352,0.004349242,4.01240479156,0.6471176,0.744348992024334,0.550885177495369,-0.578261638353108,0.0580578162115088,0.535181254867332,0.798595429556272,0.535181254867332,0.581921686803479,0,433313.186128692,0.0117827,36469502.4741323,1e-04,0,0.102056980133057,226.038209199905,"3_104_1",3,104,1,1958,TRUE,TRUE,2,0.058240753541184,6,FALSE
"13",1.7075608,0.5890984262,0.004941774,2.0415736464,0.83274953344,0.4826733202,0.004707402,0.8335038,0.82405931872,0.91431804,0.004410112,4.97663952,1.66526784,0.7731552,0.0040920738,1.55570766992,1.61082248,0.728417892,0.004419068,1.77030303966,2.0185336,0.5813270676,0.004799548,1.87507863648,1.7182504,0.32467983444,0.004435148,2.3267704528,1.883124,0.73173648,0.0155904484,1.2096986616,2.0041496,0.75017700548,0.00429445,6.0586752,2.1541368,0.7739924,0.005169458,2.41719104448,1.9538176,0.7969664472,0.00588386,2.44030089664,2.2186192,0.4982182164,0.00591134,1.26075830628,1.66761912,0.4828703646,0.004296604,1.34014491048,2.309444,0.1371336,0.00595183,0.11581808,0.2401303104,0.3898377,0.0041718746,1.933303890688,1.9377504,0.28815670032,0.0040698064,4.16862882568,0.6489119,0.748890741109632,0.56114921299135,-0.574086245898819,0.0575397942600011,0.529030413489083,0.79753836222773,0.529030413489083,0.583925700524427,0,400410.04468949,0.0108804,36469502.4741323,1e-04,0,0.101306915283203,227.268805027008,"3_104_12",3,104,12,1969,TRUE,TRUE,2,0.0588899268105126,6,TRUE
"14",1.62056832,0.46163382944,0.00485337,2.4481441272,1.03340562336,0.4027127844,0.004194322,0.8782216,0.99416124192,0.77255544,0.004616316,5.6181024,2.0420112,0.9394332,0.004945382,1.91282759488,1.607571824,0.8686086,0.005106602,1.907180896,2.0288568,0.632710793,0.00466694,2.13402644632,2.0705048,0.40553176716,0.005197784,2.0495232146,2.2794704,0.75903032,0.0179779692,1.44849468816,2.0627264,0.59649085412,0.0040700298,6.0895632,1.9658952,0.79170744,0.004697762,2.67954649776,2.2184928,0.7429601592,0.00400576114,2.3248936288,2.3750672,0.6224773112,0.005972064,1.54589534652,2.0490248,0.538574773,0.005742574,1.48011091812,1.7093312,0.168195,0.005988944,0.11425464,0.28015608,0.44968824,0.0051962,2.36767367752,1.8639812,0.27863183104,0.005198202,3.536813066292,0.752423,0.8178989499921,-2.64435460529577,-0.384175857632354,0.0568403634161664,1.30494135905349,0.718096367664246,1.30494135905349,0.439422963285972,0,34786.0923915022,0.000853926,36469502.4741323,1e-04,0,0.0985848903656006,83.1761109828949,"4_39_15",4,39,15,737,TRUE,TRUE,2,0.0118232825499979,2,TRUE
"15",1.64598176,0.46237851784,0.00472382,2.6313166296,1.06596050176,0.4021426368,0.0041879462,0.8809088,0.9890491072,0.77010404,0.004744864,5.0751,2.0238504,0.75696364,0.00545922,1.66063787952,1.68796,0.92843788,0.00452924,1.9591755912,2.3350288,0.6204963678,0.005348034,2.00067563224,1.7611752,0.35690654844,0.0056844,2.0407177176,1.882792,0.81518712,0.0187696252,1.29663816984,2.141472,0.73349091424,0.004946236,5.8250472,2.28044,0.88808708,0.005810984,3.06498182544,1.62097176,0.71707755,0.0041327784,2.41544198208,2.29392,0.6640714776,0.005985294,1.46403001932,2.0811608,0.5831564992,0.004705988,1.61328669144,2.2261992,0.13865832,0.004779532,0.0888182,0.34616736,0.40726746,0.005408804,2.49111124048,1.8251556,0.27909745856,0.005636262,3.532491021488,0.7832333,0.618121312167244,0.40618714081384,0.0776659524751337,0.0832073049772625,0.496767384667642,0.59449532456571,0.496767384667642,0.608275751518824,0,517035.143825979,0.0140786,36469502.4741323,1e-04,0,0.114405155181885,83.7741479873657,"4_40_1",4,40,1,742,TRUE,TRUE,2,0.0652826198590219,11,FALSE
"16",1.7069128,0.5248666808,0.005107522,2.5275518052,1.08831935872,0.4029996962,0.0041843914,0.8589956,1.00457006496,0.7577258,0.004608148,6.0165696,2.12398,0.94622152,0.00454965,2.1507455504,1.64049168,0.746786256,0.005820884,2.0570233544,2.0543024,0.542090479,0.0040764654,2.1435564732,2.1621648,0.34661272932,0.004718504,1.9569526498,2.1072208,0.89790304,0.0148733204,1.30844733552,1.7890008,0.570954797,0.004519408,6.7668048,1.9255512,0.741444024,0.004417826,2.39428745568,2.3545128,0.783244539,0.0040601752,2.21133510336,2.3578688,0.6161711688,0.005853714,1.5945023712,2.0781368,0.5459681424,0.005417176,1.5254237346,2.1027016,0.13491066,0.004448958,0.0848356,0.3499104,0.4190598,0.005440746,2.56330522584,1.8452808,0.27783323744,0.00507084,3.64441456016,0.766067,0.578444219037835,0.461718079145121,0.0737218308611246,0.0866940824757143,0.474805283794692,0.591689093230329,0.474805283794692,0.635506274657826,0,606912.537935698,0.0165433,36469502.4741323,1e-04,0,0.102704048156738,88.6883020401001,"4_42_7",4,42,7,786,TRUE,TRUE,1,0.0747048698293923,9,FALSE
"17",1.7069128,0.5248666808,0.005107522,2.5275518052,1.08831935872,0.4029996962,0.0041843914,0.8589956,1.00457006496,0.7577258,0.004608148,6.0165696,2.12398,0.94622152,0.00454965,2.1507455504,1.64049168,0.746786256,0.005820884,2.0570233544,2.0543024,0.542090479,0.0040764654,2.1435564732,2.1621648,0.34661272932,0.004718504,1.9569526498,2.1164584,0.8307064,0.0165962296,1.32863191344,1.950316,0.59870314168,0.0041086134,5.9642304,1.9835424,0.86318164,0.004417826,2.39428745568,2.3545128,0.783244539,0.0040601752,2.21133510336,2.3578688,0.6161711688,0.005853714,1.5945023712,2.0781368,0.5459681424,0.005417176,1.5254237346,2.1027016,0.13491066,0.004448958,0.0848356,0.3499104,0.4190598,0.005440746,2.56330522584,1.8452808,0.27783323744,0.00507084,3.64441456016,0.766067,0.578612308606856,0.461340136793039,0.0714231277425393,0.0866767967159868,0.474971941386961,0.592422822480799,0.474971941386961,0.635345932070142,0,606912.537935698,0.0165433,36469502.4741323,1e-04,0,0.105879068374634,92.0990519523621,"4_43_18",4,43,18,816,TRUE,TRUE,1,0.0746497823459577,9,FALSE
"18",1.7069128,0.5248666808,0.00480026,2.4532029056,1.11059121184,0.404321402,0.004135177,0.800778632,1.07248917952,0.7887176,0.00457669,6.0390864,2.1293048,0.97692912,0.004893092,2.09941392176,1.64313112,0.82804724,0.005855132,1.9362577712,2.3720768,0.5443527692,0.0041144056,2.0128110812,2.0957688,0.36638645472,0.005040882,1.9122777146,1.8280264,0.92905388,0.0147613924,1.15782808752,1.8152248,0.572395761,0.00497138,7.0484304,1.9846432,0.733970376,0.005094244,2.38993339392,2.1138472,0.8426430138,0.0041969348,2.04938241024,2.3673808,0.6690350132,0.005728032,1.65566845464,2.0310808,0.5513372148,0.005528376,1.55858816832,2.0947312,0.14036502,0.004448958,0.0848356,0.3499104,0.4190598,0.005440746,2.56330522584,1.8452808,0.27783323744,0.00507084,3.64441456016,0.766067,0.580568611828178,0.460324769366831,0.0591056010410371,0.0864753630220232,0.475419388854027,0.596339107786375,0.475419388854027,0.636603717675685,0,606912.537935698,0.0165433,36469502.4741323,1e-04,0,0.110501050949097,95.504371881485,"4_45_10",4,45,10,846,TRUE,TRUE,2,0.0750878731587323,11,FALSE
"19",1.7069128,0.5248666808,0.005107522,2.5275518052,1.08831935872,0.4029996962,0.0041843914,0.8589956,1.00457006496,0.7577258,0.004608148,6.0165696,2.12398,0.94622152,0.00454965,2.1507455504,1.64049168,0.746786256,0.005820884,2.0570233544,2.0543024,0.542090479,0.0040764654,2.1435564732,2.1621648,0.34661272932,0.004718504,1.9569526498,2.1164584,0.91844496,0.01437554,1.38841998984,1.681732,0.58936787,0.0041090572,5.9595264,2.0007776,0.740229608,0.004345482,2.50764378768,2.3746136,0.7894609464,0.0041078616,2.20698293504,2.3425,0.650095135,0.005909482,1.58170218696,2.1105,0.5723519692,0.005236022,1.57433407284,2.1027016,0.13491066,0.004448958,0.0848356,0.3499104,0.4190598,0.005440746,2.56330522584,1.8452808,0.27783323744,0.00507084,3.64441456016,0.766067,0.577447538343115,0.459227435722334,0.0733026919938892,0.0867965070065921,0.475902483813238,0.591822947107082,0.475902483813238,0.635049012879809,0,606912.537935698,0.0165433,36469502.4741323,1e-04,0,0.112366914749146,98.9567060470581,"4_47_2",4,47,2,876,TRUE,TRUE,1,0.0745466861218465,9,FALSE
"20",1.607667264,0.47221276266,0.004901292,2.18592315,1.0813579216,0.402000008,0.0041662812,0.81420072,1.06417146176,0.745293268,0.004534186,6.6323352,2.0863952,0.96837484,0.004611414,2.14320917072,1.61179448,0.76781728,0.00572402,2.0418392094,2.220188,0.5177871734,0.0040983974,1.8658213252,1.6830896,0.276853165056,0.005830566,1.8359840304,1.800364,0.98595548,0.0177211128,1.26039477096,2.3268656,0.81342580928,0.00470323,5.5366344,2.3255248,0.95111172,0.005378896,3.26602003104,1.9362592,0.57807996372,0.005295486,2.6584868064,2.0655272,0.5516172068,0.0046961,1.464602619,2.1453864,0.5376379288,0.004317642,1.481044326,2.3671576,0.122796468,0.00400439384,0.08717536,0.34533108,0.42373044,0.005749434,2.75693636144,1.9559788,0.28546167408,0.005459552,3.55585539496,0.7666526,0.811183283989873,-1.54832804404941,-0.228869026045093,0.0580205912238535,1.03309037015802,0.681515360180227,1.03309037015802,0.460196676056875,0,49943.6357619822,0.00126959,36469502.4741323,1e-04,0,0.105865955352783,105.084024906158,"4_49_18",4,49,18,930,TRUE,TRUE,1,0.0156829352621994,3,FALSE
