"","ds","dep_var","trend","season","holiday","print_launch","product_launch","solidcolor_launch","mb_status","sale_status","facebook_cost","google_ads_cost","bing_ads_cost","tiktok_cost","influencer_cost","tiktok_influencer_cost","tatari_cost","mntn_cost","dm_cost","sms_cost","cj_cost","fig_cost","linkby_cost","sms_sends","email_campaign_delivery","organic_impressions","intercept","depVarHat","solID","cluster","top_sol"
"1320",2022-02-06,893466,0,-198234.865666682,0,484.543200804919,-45238.6375737959,0,0,0,167698.194540271,49264.4965209823,20184.1125621321,29473.2834560829,28595.0281180438,20265.96948916,68958.925400351,2.63831326779252e-10,61274.7344409536,42057.5737781253,81917.7806797598,0,0,111632.06968237,38024.3022083152,0,255886.284146941,732243.794983814,"4_79_16",2,FALSE
"1321",2022-02-13,836533,0,-191284.518513311,0,0,-48718.5327717802,0,0,13641.3454603372,210324.096891885,51450.4219713579,20386.7544391656,28539.1025159156,40671.1818723121,33277.5445829533,77614.0508288029,4.12209295439084e-18,71311.4299793189,45391.6743903165,67422.7994032762,0,0,146722.453637843,23546.9119059963,0,255886.284146941,846183.00074133,"4_79_16",2,FALSE
"1322",2022-02-20,726653,0,-169404.602916413,-16195.3235195813,0,-31667.0463016571,0,0,0,209869.328425195,50630.3006421231,21223.1882980084,29399.4168612827,39108.4230722274,49579.9683119649,84684.6962356572,5.36298027708176e-28,71311.940875578,47020.2022987659,63159.8975161448,0,0,110361.40882255,19657.2278356342,0,255886.284146941,834625.310604421,"4_79_16",2,FALSE
"1323",2022-02-27,884322,0,-134758.637500904,0,0,-14615.5598315341,0,0,0,210683.129387724,46055.7897494336,22651.2669866686,31003.100657626,41307.2079317409,43761.6570525651,88379.736926609,4.01570339210112e-40,69822.5169345919,53331.9719443089,60559.2441498726,0,0,89004.3172773925,19043.6964030751,0,255886.284146941,882115.722216111,"4_79_16",2,FALSE
"1324",2022-03-06,854156,0,-87245.3634660311,0,0,-1043.96855939529,0,-13187.5824937965,0,224773.154867829,45847.4717086461,24807.4902605968,31569.2396335381,34928.0025220529,2879.58576165675,89546.044907757,1.21386190625828e-54,31845.5460319351,59596.5372372125,56433.283257155,0,0,58134.5077150194,20686.9878851356,0,255886.284146941,835457.221416252,"4_79_16",2,FALSE
"1325",2022-03-13,1041636,0,-42960.6430037664,0,62990.6161046394,0,0,0,0,218796.337557238,52860.8760791234,26418.6844969627,32819.3549470914,55380.4802780575,0.0141169820211542,89983.3134929436,1.05283535935269e-71,2.19327443794053,63144.3859107991,54494.8110668094,0,0,137867.21053835,22317.0848857764,0,255886.284146941,1030001.00389239,"4_79_16",2,FALSE
"1326",2022-03-20,1023846,0,-25385.5421743953,0,67836.0481126886,0,0,-13187.5824937965,13641.3454603372,195437.407701946,60259.9854181171,24722.7787745281,34719.6245231847,59207.1113556781,21333.1078540961,90052.578641442,1.88489729277897e-91,8.12745306285393e-29,64814.0308979118,60109.2881139962,0,0,166015.361159753,28667.2512449272,0,255886.284146941,1104129.07873736,"4_79_16",2,FALSE
"1327",2022-03-27,984190,0,-36151.095613009,0,44093.4312732476,0,0,0,0,163610.28563834,61587.3365073582,23089.6444495349,35225.9851639152,86849.0983439752,48920.656076881,89812.8718772918,5.06573661341597e-114,1.99453250327477e-135,65681.9000793405,61485.8414686456,0,0,130530.857751875,44961.8192603271,0,255886.284146941,1075584.91642466,"4_79_16",2,FALSE
"1328",2022-04-03,1024756,0,-47545.4116698253,0,20350.8144338066,0,0,-13187.5824937965,13641.3454603372,147160.522163006,55969.3904190263,24299.2733271716,34582.0571581145,84838.0628796028,49721.5796629162,88483.8972528509,1.5011362864549e-139,0,66506.1126998656,65090.5166836114,0,0,137563.588579546,60338.542080642,0,255886.284146941,1043698.99278382,"4_79_16",2,FALSE
"1329",2022-04-10,1010760,0,-33189.4093362157,0,1453.62960241476,0,0,0,0,157881.220967647,52226.2429018218,23304.3558120416,34892.0064394811,92565.0736326544,39966.4845957394,86065.8995799002,3.63523247661954e-168,0,66976.0854031755,104049.484110097,0,0,170373.954481691,43767.9836977693,0,255886.284146941,1096219.29603516,"4_79_16",2,FALSE
"1330",2022-04-17,1048608,0,-231.50958405831,0,0,0,-9254.84260669615,-13187.5824937965,0,164197.591308738,50615.6711033976,23085.9224805221,35855.9787234649,91745.1042447603,47170.5481921929,83233.8231347902,5.37611483868305e-200,0,67203.1499404277,93862.7644920998,0,0,176711.235141871,25993.383409454,0,255886.284146941,1092887.52163411,"4_79_16",2,FALSE
"1331",2022-04-24,962334,0,20463.1549092147,0,0,0,-17595.6266843359,0,0,152689.04887485,52861.8930494564,24381.5003378668,36016.9541004696,77140.593430866,5784.72723310474,80000.4906962722,3.65594277828121e-235,0,67299.2584910871,94508.6419367881,0,0,124698.148183086,23758.0681400839,0,255886.284146941,997893.13684575,"4_79_16",2,FALSE
"1332",2022-05-01,1008991,0,17054.9985722156,0,0,0,-11997.0181938654,0,27282.6909206745,144107.09688516,60469.5250914874,25825.772078376,35736.8754929727,68018.3298731177,6070.97968905477,76426.2915475863,8.66791416870492e-274,0,64771.5554612688,95277.6784472344,0,0,101482.200712936,22232.2512879211,0,255886.284146941,988645.512013081,"4_79_16",2,FALSE
"1333",2022-05-08,1075978,0,18297.3002076666,0,0,0,-6398.40970339487,0,0,152149.044751463,66605.7429943658,29625.7850482104,35329.8606974546,62863.7308838942,20265.9695112309,72588.0507399847,5.46861930592954e-316,0,62878.8716216359,98018.017039025,0,0,84867.3266841927,20714.8790799825,0,255886.284146941,973692.453702653,"4_79_16",2,FALSE
"1334",2022-05-15,1285122,0,62829.2877479197,0,0,0,-1142.57316132051,0,0,179173.294997766,70959.4084462069,28179.9252520394,34584.2140023775,68252.8933028487,581.133722941799,68568.7302864839,0,0,61834.763895586,119554.989563759,0,0,98039.5449577168,20564.0539515781,0,255886.284146941,1067865.95111284,"4_79_16",2,FALSE
"1335",2022-05-22,1475683,0,150004.424143644,0,0,0,0,0,40924.0363810117,212464.048232025,77523.8262611058,24811.0887229126,33924.1769180701,65310.545260482,31510.8589482842,64450.6288561192,0,0,61358.8457951917,113209.079414291,0,0,166217.54846674,26981.8187002908,0,255886.284146941,1324577.21024711,"4_79_16",2,FALSE
"1336",2022-05-29,1485880,0,231671.318756234,-141944.484042638,0,0,0,0,54565.381841349,219891.994353757,84829.1198205899,28338.9909561971,33499.1344735737,63149.0690293654,48102.5567723687,60310.3169426339,0,0,68112.5681099012,135010.090071152,0,0,147503.996727581,29326.0585603873,0,255886.284146941,1318252.39651939,"4_79_16",2,FALSE
"1337",2022-06-05,1260758,0,257336.963202181,0,0,0,0,-13187.5824937965,0,202273.688534448,83907.6438055315,30536.8789170141,32807.3744220118,73434.4611572822,30151.2806273542,56215.1353785363,0,0,77141.8900557431,141931.905549611,0,0,131420.453485823,38148.1553755538,0,255886.284146941,1398004.53216424,"4_79_16",2,FALSE
"1338",2022-06-12,1785492,0,222525.919684881,0,39247.9992651984,0,0,0,0,205820.750703267,84379.3711251596,30913.3998073029,31971.9807652849,69469.9699368857,26183.2006820198,52221.1882538887,0,0,82187.8463147402,207955.289529859,0,0,185793.634043036,36773.4468308926,0,255886.284146941,1531330.28108936,"4_79_16",2,FALSE
"1339",2022-06-19,1324483,0,167525.843270556,0,74619.6529239575,-19139.4235889136,-6284.15238726281,0,0,230155.439046543,86189.0199913896,33483.4923388401,31674.2365483587,62268.8998744883,28495.1196221186,48372.6461967139,0,0,84536.6049363479,205644.23973994,0,0,158286.430464568,24020.1262560776,0,255886.284146941,1465734.45938066,"4_79_16",2,FALSE
"1340",2022-06-26,1429763,0,131970.984416859,0,50877.0360845165,-56026.3126875472,-18395.4278972602,0,0,253177.989386551,93066.8970464695,33735.8063746308,31789.8868527358,76264.1232343065,28208.346123007,44702.0768698922,0,0,84072.4866807323,201050.717640237,0,0,178072.836471097,18621.7541545105,0,255886.284146941,1407075.48489768,"4_79_16",2,FALSE
"1341",2022-07-03,1398221,0,118171.553082687,75227.0931411535,27134.4192450754,-38974.8262174241,-12796.8194067897,0,0,258290.698374181,96912.2881294195,31772.9685766702,31887.2868416781,86634.8277134068,43628.4709498867,41231.4829832157,0,0,79528.6844742519,190977.332282513,0,0,175909.125976516,22163.9525702779,0,255886.284146941,1483584.82286366,"4_79_16",2,FALSE
"1342",2022-07-10,1315327,0,99387.2464530491,0,4845.43200804919,-21923.3397473011,-7198.21091631922,-13187.5824937965,13641.3454603372,241692.223474113,96065.1071954836,31142.5578204099,31836.4520271455,84909.7046722177,14393.6431720606,37973.7477730307,0,0,76017.6565540689,174208.075629957,0,0,167744.775985178,33274.456518926,0,255886.284146941,1320709.57573355,"4_79_16",2,FALSE
"1343",2022-07-17,1252591,0,55520.6765113253,0,39247.9992651984,-5219.84279697645,-1713.85974198077,0,0,211451.027091266,93003.5796885378,30078.7154080757,31775.8271894009,85912.9304512584,20277.1493903004,34934.2421106978,0,0,74046.3712466144,161476.968696738,0,0,144920.843268727,29861.27139669,0,255886.284146941,1261460.18332281,"4_79_16",2,FALSE
"1344",2022-07-24,1138504,0,-5631.71007517108,0,74619.6529239575,0,0,0,0,185740.557656766,89350.8042640744,28824.0888641388,31833.8325729777,82664.687343307,11151.3661136612,32112.4145219351,0,0,73144.5979691804,145719.321285567,0,0,160859.831252562,32545.9911720033,0,255886.284146941,1198821.7200119,"4_79_16",2,FALSE
"1345",2022-07-31,1000073,0,-57360.0733995162,0,50877.0360845165,0,0,0,0,185256.234961741,86274.5308816807,29153.7374766028,31894.4364139016,80360.0250617686,43937.5773509499,29503.2498535977,0,0,72284.4052755687,132903.632907099,0,0,143653.277083036,32561.700762603,0,255886.284146941,1117186.05486049,"4_79_16",2,FALSE
"1346",2022-08-07,1094489,0,-74843.6239915816,0,27134.4192450754,0,-17481.3693682038,-13187.5824937965,0,198149.12099741,81865.1748591555,30649.6371218062,31910.0932073724,73836.3962010561,48083.7807816908,27098.535605669,0,0,71707.1399610779,116002.932612668,0,0,172070.819752513,40363.6445519416,0,255886.284146941,1069245.40319079,"4_79_16",2,FALSE
"1347",2022-08-14,989555,0,-48575.4042874586,0,4845.43200804919,-45238.6375737959,-15196.2230455628,0,0,175032.768433069,75190.3978995054,30214.2734425704,31632.4532999288,78774.8288272491,35361.2262775745,24887.9142070572,0,0,71406.0715613727,96553.5356492725,0,0,188400.599237767,39574.5165357616,0,255886.284146941,998750.036619301,"4_79_16",2,FALSE
"1348",2022-08-21,870487,0,8734.52712759791,0,0,-48718.5327717802,-9597.6145550923,0,0,132203.666061547,66991.7174008976,26111.8549834386,30502.4683597774,72452.5380726523,46499.43571173,22859.7254744863,0,0,71270.799598,83472.3413617645,0,0,164657.567638444,44189.6663896382,0,255886.284146941,967516.445000042,"4_79_16",2,FALSE
"1349",2022-08-28,882402,0,58545.8906553709,0,0,-31667.0463016571,-3999.00606462179,0,54565.381841349,95090.830511193,57034.2738627515,21580.7983228852,28664.0480267711,71563.6223461529,17744.698616368,21001.6585989755,0,0,68242.9789235088,71410.4380299094,0,0,177066.145170608,50629.3276331313,0,255886.284146941,1013360.32431964,"4_79_16",2,FALSE
"1350",2022-09-04,842418,0,49517.8142483346,-7323.71055965995,0,-14615.5598315341,-114.257316132051,0,54565.381841349,89275.7114995619,48160.7718422582,18648.5182814591,27440.4197166708,74833.3395010108,1319.76406250479,19301.2401562054,0,0,61692.3797998887,65520.4386925713,0,0,129634.397506864,48840.4015465306,0,255886.284146941,922583.335134824,"4_79_16",2,FALSE
"1351",2022-09-11,833846,0,-42798.3491202159,0,39247.9992651984,-8003.75895536389,0,0,0,107431.612496811,38249.9903933221,16449.9899831755,27331.8260285281,81685.8152228573,13108.7850922217,17746.1864894242,0,0,57096.5909490694,53116.4601409766,0,0,119437.304895207,42929.9715604694,0,255886.284146941,818916.708588621,"4_79_16",2,FALSE
"1352",2022-09-18,782086,0,-177044.145361201,0,74619.6529239575,-37234.878618432,0,-13187.5824937965,0,115951.57902185,29391.6656156886,15432.2241348492,26942.9365454139,71647.0766891299,21042.9841654781,16324.6474779897,0,0,54650.5218866811,46106.0916162286,0,0,98536.6567191153,43082.1071454207,0,255886.284146941,642147.821615314,"4_79_16",2,FALSE
"1353",2022-09-25,508056,0,-259742.03560164,0,50877.0360845165,-51154.4594103692,0,0,0,110142.482538254,26490.8717427164,14121.2209069601,26303.9406733403,56859.1068271623,31985.5525508477,15025.3657044299,0,0,54244.3657858932,36512.6904814404,0,0,72726.3568775159,51324.3372236193,0,255886.284146941,491603.116531628,"4_79_16",2,FALSE
"1354",2022-10-02,638213,0,-222920.136854001,0,27134.4192450754,-34102.9729402461,0,0,0,117860.172721315,30145.2259101118,12664.6564961066,26684.9375991269,39358.745156733,47800.1027458076,13837.7713788835,0,0,58293.7984760511,36347.4549058954,0,0,106164.407096785,53937.0789624299,0,255886.284146941,569091.945047014,"4_79_16",2,FALSE
"1355",2022-10-09,771555,0,-98704.0544808555,-33928.1251797957,33918.0240563443,-17051.4864701231,0,0,0,127895.483836322,34868.0333738154,11753.5492018148,26160.0864338324,26748.0746630093,28666.2587121583,12752.0296876818,0,0,61186.5566728254,32063.1846333567,0,0,119940.322112233,50099.2141531931,0,255886.284146941,672253.435552753,"4_79_16",2,FALSE
"1356",2022-10-16,654155,0,-2526.6651310662,0,50877.0360845165,-2087.93711879058,-17481.3693682038,0,0,125906.450983223,39171.2780991548,12066.7505656461,24842.5089483833,39165.0537701136,2435.03548702298,11759.0538389782,0,0,62720.9118130368,34838.0432862626,0,0,106765.703194865,51828.5755267517,0,255886.284146941,796166.714126835,"4_79_16",2,FALSE
"1357",2022-10-23,1069448,0,-20649.762629127,0,27134.4192450754,0,-15196.2230455628,0,40924.0363810117,109617.504453211,39436.227578175,11386.392894054,26421.7408176973,56435.0396236858,3577.30610329726,10850.4941353081,0,0,63404.7059143559,30865.3413536466,0,0,91693.6822571431,65683.0918376642,0,255886.284146941,797470.281066576,"4_79_16",2,FALSE
"1358",2022-10-30,807437,0,-109768.738425386,0,33918.0240563443,0,-9597.6145550923,0,27282.6909206745,94817.6957603711,42638.473505009,9720.38274411028,28008.6720161101,60930.7279733602,69.3907848380045,10018.7109511223,0,0,73060.8837884072,30505.7973568829,0,0,139480.274223021,80259.8559049156,0,255886.284146941,767231.511151628,"4_79_16",2,FALSE
"1359",2022-11-06,1713793,0,-124586.073409723,606201.396968049,50877.0360845165,0,-3999.00606462179,0,68206.7273016862,128594.037008967,52885.5730610869,10747.7091454354,27064.7987460345,76037.888142384,0.000323834900123594,9256.73751030643,0,0,82157.4079260746,52487.6420805559,0,0,164449.74585025,147386.692413499,0,255886.284146941,1603654.59723528,"4_79_16",2,FALSE
"1360",2022-11-13,731188,0,36492.2087556708,0,27134.4192450754,0,-114.257316132051,0,13641.3454603372,160569.327352102,56511.4360045431,12527.1330370277,25601.43362731,65755.8225699362,14206.5440136951,8558.23679149586,0,0,86899.1047095453,44668.5719797716,0,0,141003.24160824,134099.38531657,0,255886.284146941,1083440.23730213,"4_79_16",2,FALSE
"1361",2022-11-20,2793394,0,310515.180019849,835137.112158498,4845.43200804919,0,0,0,177337.490984384,226714.273987791,76644.6187691158,18986.8599841495,30841.3462692484,81830.9976932044,41552.3495124977,7917.45567375976,0,0,89026.636819303,74080.2778895561,0,0,175812.013916962,188820.355973445,0,255886.284146941,2595948.68580675,"4_79_16",2,FALSE
"1362",2022-11-27,2009951,0,505730.77047093,0,0,0,0,-13187.5824937965,136413.454603372,233913.849782011,83225.6405682715,25591.6867819153,33434.8011521967,68954.8190158941,36135.2146821443,7329.17850823593,0,0,83601.4561367219,86543.0072278535,0,0,160619.124059206,219862.030306572,0,255886.284146941,1924053.73494847,"4_79_16",2,FALSE
"1363",2022-12-04,1584944,0,469319.805167098,0,39247.9992651984,0,0,-13187.5824937965,68206.7273016862,179888.233762492,75692.4928118462,24388.2598752254,32758.4868785755,65797.4778341692,33827.8797788832,6788.68160467359,0,0,67761.3324559274,83896.6849966544,0,0,123932.821968301,184266.909568675,0,255886.284146941,1698472.49492255,"4_79_16",2,FALSE
