"","bing_ads_cost_alphas","bing_ads_cost_gammas","bing_ads_cost_thetas","email_sms_campaign_alphas","email_sms_campaign_gammas","email_sms_campaign_thetas","facebook_cost_alphas","facebook_cost_gammas","facebook_cost_thetas","google_ads_cost_alphas","google_ads_cost_gammas","google_ads_cost_thetas","influencer_cost_alphas","influencer_cost_gammas","influencer_cost_thetas","organic_impressions_alphas","organic_impressions_gammas","organic_impressions_thetas","other_cost_alphas","other_cost_gammas","other_cost_thetas","tiktok_cost_alphas","tiktok_cost_gammas","tiktok_cost_thetas","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","pos","Elapsed","ElapsedAccum","solID","trial","iterNG","iterPar","iterations","coef0","mape.qt10","robynPareto","error_score","cluster","top_sol"
"11",2.8354525,0.9690768,0.2001795,2.46044,0.8363946,0.1738488,0.6369435,0.5746429,0.0921018,1.6598025,0.6376191,0.0578313,0.598142,0.8963664,0.2163639,0.644155,0.4198015,0.02074218,1.0881275,0.4339422,0.5584065,0.94021,0.95093,0.0980514,0.7867985,0.632027919368968,0.759037226680762,0.563115568671737,0.0431240565667385,0.671130622738913,1.12847834389999,0.671130622738913,0.0212875984201376,0,140151.461666809,0.0205485,6788164.2892316,1e-04,0,0.0620861053466797,135.602882862091,"1_102_2",1,102,2,1921,TRUE,TRUE,2,0.0560220000952365,3,FALSE
"12",2.7657425,0.9674521,0.1949901,2.63491,0.8208462,0.1761453,0.693645,0.5396709,0.1119408,1.7750125,0.605158,0.0484515,0.70672275,0.9701828,0.2181291,0.641965,0.4071511,0.047673,1.0720975,0.4530788,0.5265655,0.9859825,0.9297396,0.0759504,0.7837487,0.653424343069706,0.771703762715248,0.519679488443448,0.0414329231920736,0.683432149193162,1.18669196214352,0.683432149193162,0.020390262832203,0,107471.076612359,0.0157337,6788164.2892316,1e-04,0,0.074782133102417,136.392124891281,"1_102_13",1,102,13,1932,TRUE,TRUE,3,0.0657963152789111,3,FALSE
"13",2.89855,0.9937742,0.1614015,2.7545875,0.8174365,0.168801,0.6031015,0.6402721,0.0745095,1.594435,0.59386,0.1083531,0.57299075,0.8290376,0.2149596,0.52094375,0.4268757,0.0531651,1.15987,0.445166,0.5385535,0.9684875,0.9360557,0.0800805,0.7838918,0.638978362914763,0.778466645923669,0.55151721728345,0.0422876121864348,0.673233299811179,1.1466881428003,0.673233299811179,0.0193290711053267,0,119700.767937254,0.0175355,6788164.2892316,1e-04,0,0.0631120204925537,136.96716594696,"1_103_2",1,103,2,1940,TRUE,TRUE,1,0.0590722888095436,2,FALSE
"14",2.81818,0.9890044,0.0871746,2.9989975,0.7059132,0.1717674,0.63468125,0.4197427,0.1219089,1.7800325,0.6066406,0.0309246,0.592868,0.9194699,0.2191824,0.61448625,0.415395,0.0540516,1.0892175,0.4680056,0.499146,1.028645,0.9135206,0.0589557,0.7859564,0.660912126660958,0.782869768672277,0.51535823596225,0.0412389481883531,0.648865486543946,1.18853505418279,0.648865486543946,0.0272039055413743,0,81851.0339467176,0.0119591,6788164.2892316,1e-04,0,0.0617001056671143,137.922610044479,"1_103_16",1,103,16,1954,TRUE,TRUE,3,0.0661679927581393,2,FALSE
"15",2.7991775,0.9782685,0.1893942,2.66839,0.8484822,0.1738374,0.66769425,0.5492483,0.0999054,1.694255,0.6304609,0.063759,0.5756995,0.9105638,0.217344,0.619846,0.4179598,0.0385245,1.1170925,0.4329489,0.570266,0.9177725,0.9542375,0.0972288,0.7840793,0.633048506444202,0.778687869915353,0.557582845698026,0.0426334891664454,0.672897069271629,1.13890739586585,0.672897069271629,0.0257703928897434,0,138690.116044514,0.0203332,6788164.2892316,1e-04,0,0.060823917388916,138.060667037964,"1_103_18",1,103,18,1956,TRUE,TRUE,4,0.0578184448094669,3,FALSE
"16",2.8155625,0.972609,0.1814175,2.7868525,0.8455009,0.1661022,0.5736535,0.6910067,0.0602265,1.556435,0.5885036,0.1266642,0.5184217,0.8941019,0.2183265,0.5727015,0.35942545,0.0306219,1.00034,0.3795004,0.5542875,0.9368125,0.9402949,0.0840714,0.7828145,0.630496912282076,0.775294639088387,0.570120726178935,0.0427994744866195,0.678657478897993,1.12328273939696,0.678657478897993,0.019388687611974,0,130551.920962624,0.0191342,6788164.2892316,1e-04,0,0.0609879493713379,138.572985887527,"1_104_6",1,104,6,1963,TRUE,TRUE,2,0.0551403894813326,2,FALSE
"17",2.870005,0.9760908,0.2233719,2.6885275,0.8577068,0.1723437,0.65147675,0.4031177,0.0904944,1.6039,0.6046757,0.0531483,0.600757,0.9302499,0.2176941,0.57261225,0.4090999,0.0489927,1.322755,0.4501269,0.551619,0.96637,0.9011278,0.0416457,0.7874966,0.657728411655745,0.780388637437115,0.515835693576604,0.0415908310125035,0.640707019761457,1.18797234145203,0.640707019761457,0.0362682813412654,0,70879.7424284794,0.0103427,6788164.2892316,1e-04,0,0.0671830177307129,138.780903816223,"1_104_9",1,104,9,1966,TRUE,TRUE,2,0.0662641819543187,2,FALSE
"18",2.88719,0.9823082,0.1158129,2.7421275,0.7283706,0.1851843,0.62494175,0.4314439,0.1079457,1.747385,0.6473295,0.01635105,0.532355,0.9089958,0.2176224,0.5899945,0.4040039,0.060162,1.08781,0.446468,0.543788,0.961165,0.9385554,0.0836781,0.7856543,0.646603176380426,0.780665768838066,0.53889578912988,0.0421000654988372,0.652150355331398,1.15931410793203,0.652150355331398,0.0311728752218079,0,121450.581692143,0.0177933,6788164.2892316,1e-04,0,0.0690319538116455,138.986089944839,"1_104_12",1,104,12,1969,TRUE,TRUE,4,0.0613378238364302,2,FALSE
"19",2.81231,0.9765542,0.1653852,2.789735,0.8139001,0.1635483,0.5623985,0.6948658,0.0637533,1.6091375,0.6176159,0.1194162,0.5088127,0.9149948,0.2167932,0.56071225,0.4104803,0.0584244,1.1193125,0.4488158,0.5385535,0.9684875,0.9360557,0.0800805,0.7838918,0.638457559076816,0.778988661402895,0.558535968044859,0.0423181028987414,0.672439637205934,1.13767993061378,0.672439637205934,0.0260964244974405,0,119700.767937254,0.0175355,6788164.2892316,1e-04,0,0.0602829456329346,139.050653934479,"1_104_13",1,104,13,1970,TRUE,TRUE,4,0.0576170334065068,2,FALSE
"20",2.7954675,0.9833043,0.1021671,2.947055,0.8491976,0.1643691,0.5892515,0.7309879,0.1037853,1.7156275,0.6223983,0.02665692,0.61623425,0.8516315,0.2168052,0.57167025,0.4411158,0.02718474,1.06231,0.4291591,0.513234,1.001845,0.92188,0.0678429,0.7858628,0.649896622319641,0.78890423431434,0.559958578284098,0.0419034326512328,0.639785345085311,1.13252645694982,0.639785345085311,0.0238699951572452,0,94639.3353260251,0.0138432,6788164.2892316,1e-04,0,0.0702800750732422,139.256812810898,"1_104_16",1,104,16,1973,TRUE,TRUE,1,0.0567238810358933,2,FALSE
"21",2.84382,0.9753481,0.1724697,2.77658,0.8252772,0.1684221,0.5918145,0.6577511,0.0724362,1.6251475,0.5899197,0.1302066,0.531964,0.8861254,0.218415,0.5411785,0.4287895,0.0510597,1.04497,0.4421119,0.5466945,0.9547575,0.9383916,0.0869733,0.7826144,0.635879660192775,0.773795687024991,0.55909008911202,0.0424865894668599,0.680917291845291,1.137603089254,0.680917291845291,0.0204129086354871,0,124225.984501972,0.0182022,6788164.2892316,1e-04,0,0.0699751377105713,139.463591814041,"1_104_19",1,104,19,1976,TRUE,TRUE,3,0.05755000361524,2,FALSE
"22",2.8390575,0.9741602,0.1882005,2.56717,0.8291405,0.1743081,0.6915535,0.5310112,0.1122168,1.78851,0.6573815,0.0484515,0.70672275,0.8454519,0.2172303,0.5441085,0.4194081,0.0778554,1.167265,0.4586473,0.520274,0.9946075,0.9228929,0.0648777,0.781538,0.662015651831,0.761218811959998,0.516030974576156,0.0409560833649223,0.699965216512103,1.19183503816552,0.699965216512103,0.0185537719094457,0,100894.68193776,0.0147648,6788164.2892316,1e-04,0,0.0698049068450928,140.609103918076,"1_105_16",1,105,16,1992,TRUE,TRUE,1,0.066655560646829,3,FALSE
