"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","solID","trial","iterNG","iterPar","iterations","robynPareto","total_spend","mean_spend","mean_spend_adstocked","mean_carryover","mean_response","spend_share","effect_share","roi_mean","roi_total","cpa_total","cluster","top_sol","boot_mean","boot_se","ci_low","ci_up","carryover_pct"
"1093","bing_ads_cost",45167.8835923988,3260626.2976554,0.0254685380752086,3701.05141618094,0.0141125417227707,3260626.2976554,0.0254685380752086,3701.05141618094,0.0141125417227707,TRUE,0.7867031,0.661950112590628,0.775637008080156,0.45555460894898,0.0413633915144267,0.648069019026514,1.26066785093735,0.648069019026514,0.0380410687052364,0,51654.8685753131,0.0075103,6788164.2892316,1e-04,"2_103_2",2,103,2,1940,4,652787.81,740.962326901249,854.030385985982,113.068059084734,2755.9176721669,0.0137864633434287,0.0394045822030609,3.71937623832014,4.99492522333621,0.200203197302738,5,FALSE,6.82970348618837,0.71720834828742,0,15.0707755966739,0.0256516522452354
"1094","tiktok_cost",6926.11002389889,1539859.82185704,0.0120277440354481,2696.77727120322,0.0102831270029064,1539859.82185704,0.0120277440354481,2696.77727120322,0.0102831270029064,TRUE,0.7867031,0.661950112590628,0.775637008080156,0.45555460894898,0.0413633915144267,0.648069019026514,1.26066785093735,0.648069019026514,0.0380410687052364,0,51654.8685753131,0.0075103,6788164.2892316,1e-04,"2_103_2",2,103,2,1940,4,1433095.24,1626.66883087401,1886.68319234447,260.014361470462,2489.21823822114,0.0302660599527773,0.0186091650475822,1.53025507772451,1.07449929277348,0.930666038335695,5,FALSE,1.49528995452177,0.0305329962989759,1.14365773649557,1.84819015697145,0.26249627748653
"1095","influencer_cost",58277.0483931303,7049690.41221946,0.0550646692664991,8112.41704513171,0.0309335945783955,7049690.41221946,0.0550646692664991,8112.41704513171,0.0309335945783955,TRUE,0.7867031,0.661950112590628,0.775637008080156,0.45555460894898,0.0413633915144267,0.648069019026514,1.26066785093735,0.648069019026514,0.0380410687052364,0,51654.8685753131,0.0075103,6788164.2892316,1e-04,"2_103_2",2,103,2,1940,4,4156218.022001,4717.61409988763,4872.85142090209,155.237321014461,7651.70393433285,0.0877766810743825,0.0851953213878513,1.62194358680484,1.69617916454378,0.589560360664476,5,FALSE,1.48978521044502,0.0269683000689909,1.17829667455457,1.80057565227689,0.360747016644333
"1096","other_cost",0,0,0,0,0,0,0,0,0,TRUE,0.7867031,0.661950112590628,0.775637008080156,0.45555460894898,0.0413633915144267,0.648069019026514,1.26066785093735,0.648069019026514,0.0380410687052364,0,51654.8685753131,0.0075103,6788164.2892316,1e-04,"2_103_2",2,103,2,1940,4,647064.8,734.46628830874,1684.02965479931,949.563366490571,0,0.0136655970123324,0,0,0,Inf,5,FALSE,0,0,0,0,0
"1097","email_sms_campaign",647953.811003142,6455519.36208216,0.0504236381785483,7335.81745691154,0.0279723295598314,6455519.36208216,0.0504236381785483,7335.81745691154,0.0279723295598314,TRUE,0.7867031,0.661950112590628,0.775637008080156,0.45555460894898,0.0413633915144267,0.648069019026514,1.26066785093735,0.648069019026514,0.0380410687052364,0,51654.8685753131,0.0075103,6788164.2892316,1e-04,"2_103_2",2,103,2,1940,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,FALSE,NA,NA,NA,NA,0.00421267454516365
"1098","organic_impressions",2205.99876402711,764257.848470821,0.00596956791002156,867.489044802294,0.00330783714197943,764257.848470821,0.00596956791002156,867.489044802294,0.00330783714197943,TRUE,0.7867031,0.661950112590628,0.775637008080156,0.45555460894898,0.0413633915144267,0.648069019026514,1.26066785093735,0.648069019026514,0.0380410687052364,0,51654.8685753131,0.0075103,6788164.2892316,1e-04,"2_103_2",2,103,2,1940,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,FALSE,NA,NA,NA,NA,0.0862635115211525
"1099","(Intercept)",51023.2240903167,44951460.423569,0.348288640919075,51023.2240903167,0.203851869261647,44951460.423569,0.348288640919075,51023.2240903167,0.203851869261647,TRUE,0.7893824,0.636184215577513,0.786150484791121,0.535872732900347,0.0453378308902093,0.62119386640118,1.15951858532337,0.62119386640118,0.197259754910157,0,84793.4088991776,0.0123926,6788164.2892316,1e-04,"2_103_11",2,103,11,1949,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,FALSE,NA,NA,NA,NA,NA
"1100","trend",0,0,0,0,0,0,0,0,0,TRUE,0.7893824,0.636184215577513,0.786150484791121,0.535872732900347,0.0453378308902093,0.62119386640118,1.15951858532337,0.62119386640118,0.197259754910157,0,84793.4088991776,0.0123926,6788164.2892316,1e-04,"2_103_11",2,103,11,1949,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,FALSE,NA,NA,NA,NA,NA
"1101","season",0.223070748769358,-780025.649116844,-0.00604372073016075,-885.38666188064,-0.00353736419564972,-780025.649116844,-0.00604372073016075,-885.38666188064,-0.00353736419564972,FALSE,0.7893824,0.636184215577513,0.786150484791121,0.535872732900347,0.0453378308902093,0.62119386640118,1.15951858532337,0.62119386640118,0.197259754910157,0,84793.4088991776,0.0123926,6788164.2892316,1e-04,"2_103_11",2,103,11,1949,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,FALSE,NA,NA,NA,NA,NA
"1102","weekday",0.438174024211165,1627.7499426677,1.26119776742689e-05,1.84761627998604,7.38173722002966e-06,1627.7499426677,1.26119776742689e-05,1.84761627998604,7.38173722002966e-06,TRUE,0.7893824,0.636184215577513,0.786150484791121,0.535872732900347,0.0453378308902093,0.62119386640118,1.15951858532337,0.62119386640118,0.197259754910157,0,84793.4088991776,0.0123926,6788164.2892316,1e-04,"2_103_11",2,103,11,1949,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,FALSE,NA,NA,NA,NA,NA
