"","solID","mape","decomp.rssd","nrmse","nrmse_test","nrmse_train","collab_spend","facebook_cost","google_ads_cost","bing_ads_cost","tiktok_cost","influencer_cost","tiktok_influencer_cost","tatari_cost","mntn_cost","dm_cost","sms_cost","cj_cost","fig_cost","linkby_cost","cluster","top_sol"
"13","1_106_18",0,0.205514192628244,0.210267356897087,0.837089193163047,0.044774984904488,0,0.832703382690514,0.387647687464544,0.382159118821061,0.836279522278322,0.410600990072564,0,0,0,0.295435520451694,0,1,0,0,4,FALSE
"14","1_106_7",0,0.0819575797634839,0.227743691333541,0.753267459228517,0.0467851211757649,0,0.56143243203906,0.696030981352646,0.747663822557234,0.408231549467781,0.448184049351661,0,0,0,0,0.18808277331666,0.802408329576574,0,0,4,FALSE
"15","1_85_4",0,0.0872846995670728,0.229662189727967,0.720400345427097,0.0490287464085023,0,0.390914367282893,0.65903340477773,0.915395750092577,0.331660388278902,0.348316054253388,0,0,0,0,0.440619803741505,0.765716449831732,0,0,4,FALSE
"16","1_86_19",0,0.125906779894904,0.222441969116449,0.745119251638826,0.0478092137564225,0,0.62031503161968,1,0.748134461427207,0.423528365837805,0.218726835423513,0,0,0,0,0.824840334431318,0.789225758514504,0,0,4,FALSE
"17","1_87_6",0,0.109555475820069,0.217664034746495,0.727783338266187,0.0462185005734031,0,0.665473771541238,0.845024782152514,0.794709033540006,0.358506651206663,0.213485859116899,0,0,0,0,0.0161765740074701,0.776630776491285,0,0,4,FALSE
"18","1_91_10",0,0.0885902931260833,0.225876937414033,0.731735839556206,0.0494973443137678,0,0.406894943941184,0.660850985844443,0.872737617083818,0.351816697125522,0.357140540240693,0,0,0,0,0.219241098949179,0.821601100123221,0,0,4,FALSE
"19","1_91_8",0,0.0744114601083452,0.219431071378386,0.723584854693573,0.046176994338523,0,0.500852928422648,0.756733821334057,0.665277951919262,0.387441984088399,0.518334779085005,0,0,0,0,0.181470245299477,0.83294883726394,0,0,4,FALSE
"20","1_93_17",0,0.0985434282216919,0.20889268820371,0.753185432854276,0.0441338245010641,0,0.747577674271917,0.784641760960785,0.638814362131763,0.536520595930464,0.356706381268709,0,0,0,0.254006185654531,0,0.934357647195633,0,0,4,FALSE
"21","1_93_2",0,0.111278144351617,0.226426907788874,0.75739790770416,0.0463259295048663,0,0.654344179803666,0.651927639773512,0.704128089322702,0.455653187528532,0.308632527866878,0,0,0,0,0.279360704966323,0.688287266018068,0,0,4,FALSE
"22","1_94_5",0,0.0973364956204827,0.216295616381989,0.755305052818891,0.0446254132094743,0,0.55270218968016,0.685196868755145,0.523757359093606,0.497651417655446,0.389510665810002,0,0,0,0,0,0.860760951845539,0,0,4,FALSE
"23","1_95_9",0,0.165217235969871,0.219464235081804,0.851541083325859,0.0422423743269432,0,0.664000109363577,0.512349850741374,0.295729854028469,0.768491555436029,0.235130176234316,0,0,0,0.720632028774624,0,0.854517525528156,0,0,4,FALSE
"24","1_96_3",0,0.0973897299845874,0.220357249406232,0.761141400887758,0.0447151916411901,0,0.740157911727727,0.815469778095757,0.625915853846766,0.512407437409173,0.386331449547903,0,0,0,0.0380004892291735,0,0.896382880267373,0,0,4,FALSE
"25","1_97_16",0,0.117496424853835,0.224905880339242,0.73267902693727,0.0497586548006573,0,0.250241194128919,0.784560568048205,0.903030738226704,0.33278675643992,0.493931894585631,0,0,0,0,0.25383684289881,0.847079548121891,0,0,4,FALSE
"26","1_97_3",0,0.0728512784888269,0.228789690401273,0.746029247993336,0.0469600670354723,0,0.523423361245871,0.739375110470908,0.619965698073989,0.413738252258684,0.501845581569847,0,0,0,0,0.298148903381926,0.796176501299625,0,0,4,FALSE
"27","1_97_8",0,0.134526254131941,0.221239204040008,0.788877821200201,0.0445782546158181,0,1,0.707568853425754,0.725019376966849,0.546887351716493,0.340473878071317,0,0,0,0.186881409897402,0,0.879114113890587,0,0,4,FALSE
"28","1_98_12",0,0.374232199383109,0.220882701278514,0.792495955466512,0.0414188650594337,0,0.658957136637739,0,0.609483250297942,0.83638996146991,0.172500950331997,0,0,0,0.991276929110185,0,0.944805458787724,0,0,4,FALSE
"29","1_98_19",0,0.0890168515159196,0.219478254146783,0.735264744227759,0.0460634837637559,0,0.550402738066498,0.831812659400832,0.647311159588967,0.358362389132982,0.471668022496278,0,0,0,0,0,0.873418198611549,0,0,4,FALSE
"30","1_98_6",0,0.0806867470983312,0.226025036305979,0.713999080432694,0.0474153154901819,0,0.547309522003895,0.794549523102412,0.90743191918915,0.394064674704165,0.457354058282958,0,0,0,0,0.483816098203807,0.731757800444639,0,0,4,FALSE
"31","1_99_11",0,0.0773835013750671,0.230842607633491,0.711219549485652,0.0475402643461616,0,0.181487505823639,0.517276757243389,0.582615820584096,0.351636608471192,0.63625456552816,0,0,0,0,0,0.643296232629669,0,0,4,TRUE
"32","1_99_17",0,0.0806281412241592,0.226130091602866,0.714133353768179,0.0474174764204139,0,0.547117161578361,0.794477532141331,0.907114242579761,0.39390778648646,0.457363808252683,0,0,0,0,0.499304051758628,0.731678326992706,0,0,4,FALSE
"33","2_87_13",0,0.0388179276433045,0.268324002726459,0.730351891815599,0.0439826978179083,0.528301850596601,0.581554979687888,0.751841383493575,0.3786506582933,0.390443655652794,0.955560133491307,0.265391567662489,0.899167736065416,0,0.0253384239902304,0,0.251395194448958,0,0,1,FALSE
"34","3_101_4",0,0.231522750291491,0.215635194756041,0.882306964039232,0.0425934906133021,0,0.900665448291227,0.444073894220511,0.606415520686913,1,0,0,0,0,0.266849313664061,0,0.610014937307415,0,0,4,FALSE
"35","3_104_7",0,0.333739736122086,0.21494917160558,0.882711558941538,0.0435073030119727,0,0.992206551307907,0.106210485976334,1,0.964699111147837,0.0166915055957514,1,0,0,0.363611215889042,0,0.827924249591583,0,0,4,FALSE
"36","3_105_18",0,0.191143942973744,0.220358184125285,0.912159146650138,0.043101746805746,0,0.751590419833834,0.506793952018755,0.584696745733373,0.951290715592518,0.0666877044264051,0,0,0,0.163636739149459,0,0.608487582220259,0,0,4,FALSE
