"","email_sms_campaign_alphas","email_sms_campaign_gammas","email_sms_campaign_thetas","facebook_cost_alphas","facebook_cost_gammas","facebook_cost_thetas","google_ads_cost_alphas","google_ads_cost_gammas","google_ads_cost_thetas","influencer_cost_alphas","influencer_cost_gammas","influencer_cost_thetas","organic_impressions_alphas","organic_impressions_gammas","organic_impressions_thetas","other_cost_alphas","other_cost_gammas","other_cost_thetas","tiktok_cost_alphas","tiktok_cost_gammas","tiktok_cost_thetas","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","pos","Elapsed","ElapsedAccum","solID","trial","iterNG","iterPar","iterations","coef0","mape.qt10","robynPareto","error_score","cluster","top_sol"
"11",2.7806625,0.7374223,0.0312585,0.66152675,0.8545792,0.02906337,2.17966,0.6488163,0.269862,0.69872675,0.5558626,0.2782887,1.410395,0.8983411,0.0923046,2.0738775,0.6888759,0.4917145,2.5766175,0.6356458,0.0826041,0.6404744,0.674996292060612,0.765463955963922,0.616529979443021,0.0546277192663284,0.642447202478019,1.04084126381436,0.642447202478019,0.0312852155817863,0,49918.2904170965,0.00725445,6788164.2892316,1e-04,0,0.0666840076446533,126.685760974884,"1_89_10",1,89,10,1682,TRUE,TRUE,6,0.02354771070452,1,FALSE
"12",2.973995,0.5335263,0.02755995,0.66135475,0.8740637,0.01022748,2.1498775,0.6783171,0.2691033,0.731512,0.7274431,0.2765703,1.4711275,0.9179313,0.0449226,2.2503125,0.6677422,0.452079,2.4026825,0.6332287,0.0707778,0.6425318,0.687704104823764,0.726799962092408,0.568219067958405,0.054044534418578,0.665820626163895,1.1006123666696,0.665820626163895,0.031149639338093,0,41895.3468385343,0.00607243,6788164.2892316,1e-04,0,0.0640089511871338,126.974796056747,"1_89_14",1,89,14,1686,TRUE,TRUE,6,0.0375505362278236,1,FALSE
"13",2.9311575,0.7447632,0.01399533,0.65380425,0.8829341,0.01829742,2.14775,0.6678178,0.2667669,0.72175,0.9933472,0.2916726,1.65825,0.7465993,0.2529072,2.0363675,0.6191944,0.40497,2.3789,0.6325259,0.071196,0.6399452,0.676210433029153,0.772088113303187,0.621957430501261,0.0545255853354414,0.633309689530889,1.03344923034198,0.633309689530889,0.0320043449076787,0,47354.8607785831,0.00687678,6788164.2892316,1e-04,0,0.06467604637146,127.044597148895,"1_89_15",1,89,15,1687,TRUE,TRUE,5,0.0219893295656807,1,FALSE
"14",2.9106775,0.7578252,0.01159992,0.6516665,0.8770429,0.01957962,2.137315,0.6738392,0.2661852,0.73527475,0.9536334,0.2804223,1.596525,0.6057628,0.2506431,2.263015,0.62886,0.380639,2.4931075,0.6032337,0.0705432,0.6414404,0.681867950707102,0.754016941717841,0.624710037469727,0.054547186309588,0.631785225518086,1.02609160176979,0.631785225518086,0.0334482274521926,0,48269.4065711886,0.00701152,6788164.2892316,1e-04,0,0.0751979351043701,127.193802118301,"1_89_17",1,89,17,1689,TRUE,TRUE,6,0.020605731057946,1,FALSE
"15",2.83049,0.734112,0.0335217,0.6685645,0.8616919,0.02938989,2.1816825,0.6570483,0.2687298,0.72630675,0.758423,0.2825745,1.458065,0.9762609,0.0591438,2.08468,0.6194681,0.439724,2.5141425,0.7139947,0.0706215,0.6403796,0.675194487768388,0.766062744352631,0.62393057885781,0.0546110600246543,0.641626570032391,1.03074871913593,0.641626570032391,0.03084620921755,0,50140.9878154592,0.00728726,6788164.2892316,1e-04,0,0.0661780834197998,127.513027191162,"1_90_2",1,90,2,1693,TRUE,TRUE,2,0.0212163676106503,1,FALSE
"16",2.96443,0.7650926,0.00425739,0.636994,0.8877585,0.00402888,2.2098825,0.6384346,0.2747889,0.70493575,0.7547214,0.2992203,1.4033175,0.9610128,0.1923018,2.1789775,0.675179,0.3231088,2.363815,0.5996287,0.0711108,0.6407987,0.681894769421243,0.757365451364835,0.622630580741251,0.0545448870815915,0.627470318741423,1.02893042743513,0.627470318741423,0.0326614618940965,0,46603.6218864533,0.0067661,6788164.2892316,1e-04,0,0.0654032230377197,127.669231176376,"1_90_4",1,90,4,1695,TRUE,TRUE,1,0.0210937796731162,1,FALSE
"17",2.6691975,0.7323676,0.0488754,0.68056675,0.8342015,0.0597186,2.2453675,0.648852,0.2680737,0.720395,0.7624396,0.2844951,1.4774425,0.9946534,0.02532327,2.12041,0.6145149,0.5438425,2.617205,0.7326091,0.078156,0.641408,0.681880031986749,0.73838647850573,0.620238872475392,0.0545461505666161,0.651548816996279,1.03218587738487,0.651548816996279,0.0311425094638391,0,52022.003664537,0.00756439,6788164.2892316,1e-04,0,0.0657579898834229,128.097568035126,"1_90_10",1,90,10,1701,TRUE,TRUE,5,0.0215803619357487,1,FALSE
"18",2.83049,0.734112,0.0335217,0.6685645,0.8616919,0.02938989,2.1816825,0.6521882,0.268968,0.7173135,0.7107194,0.2803896,1.408555,0.6642352,0.1434579,2.0723475,0.6735165,0.5103125,2.569845,0.6486966,0.0706215,0.6403796,0.674958319151418,0.766611058850998,0.62026688188929,0.0546309104804352,0.640874189781068,1.03575736634429,0.640874189781068,0.0308996798621246,0,50140.9878154592,0.00728726,6788164.2892316,1e-04,0,0.0641548633575439,129.734052181244,"1_91_13",1,91,13,1723,TRUE,TRUE,1,0.0223456395952367,1,FALSE
"19",2.77677,0.751556,0.0071232,0.66857575,0.8661971,0.0201732,2.19741,0.658274,0.270453,0.7376705,0.6078075,0.2762001,1.2899675,0.7532969,0.214536,2.039175,0.6876495,0.4937315,2.646615,0.6676785,0.0701172,0.6401306,0.67345635482751,0.766004312074293,0.622954090205052,0.0547569852464975,0.641706696990731,1.03208605454319,0.641706696990731,0.0308060848603171,0,50423.0757117088,0.00732882,6788164.2892316,1e-04,0,0.0667901039123535,129.874987125397,"1_91_15",1,91,15,1725,TRUE,TRUE,2,0.0215087835871329,1,FALSE
"20",2.993465,0.7512627,0.02828211,0.64176675,0.9149766,0.01193097,2.1440275,0.6697022,0.2661351,0.69322075,0.8810497,0.2990559,1.5412475,0.8500775,0.1513068,2.2209875,0.6558513,0.3852835,2.3134425,0.59491,0.070119,0.6408155,0.682123499557972,0.757338393630526,0.623119134579099,0.0545252735987229,0.627505304385396,1.02826416953547,0.627505304385396,0.0323723807246113,0,48474.8637564503,0.00704179,6788164.2892316,1e-04,0,0.0838789939880371,131.144953012466,"1_92_12",1,92,12,1741,TRUE,TRUE,2,0.0209020939310247,1,FALSE
