"","solID","mape","decomp.rssd","nrmse","nrmse_test","nrmse_train","facebook_cost","google_ads_cost","tiktok_cost","influencer_cost","other_cost","cluster","top_sol"
"24","1_72_12",0,0.0357669666188411,0.626971710624356,1.02855317467481,0.0544056955803505,0.640637829473067,0.501897404115368,0.252210168833983,0.525964626312293,0,1,FALSE
"25","1_81_17",0,0.0344670174788762,0.629871962505275,1.03592135261398,0.0540720588017429,0.636012803833474,0.534336158164787,0.243289575770936,0.510872465673529,0,1,FALSE
"26","1_83_15",0,0.0312991642275949,0.640604600873794,1.035469683314,0.0545696965939887,0.550986718838073,0.476317747656843,0.174008967989461,0.468811727951075,0,1,FALSE
"27","1_85_15",0,0.0307282850190296,0.643362271755869,1.03464456809647,0.054589031351034,0.568734276494672,0.483747603888416,0.169116473515017,0.5001485927673,0,1,FALSE
"28","1_85_5",0,0.035421143652166,0.626507452525416,1.02940670262846,0.0544097003668464,0.639077649151504,0.502428870703936,0.250889145649096,0.561404005540208,0,1,FALSE
"29","1_85_8",0,0.0354985120155196,0.630078469439133,1.02987953762844,0.0543970198560243,0.610100093541252,0.495128571576268,0.245913430833697,0.509519152253913,0,1,FALSE
"30","1_85_9",0,0.0308061466776142,0.643642734893189,1.03108414937844,0.0551997027576887,0.559734503960681,0.46767357415217,0.149953469249708,0.522502042882882,0,1,FALSE
"31","1_87_7",0,0.0307139918215703,0.643841528382049,1.03526223411926,0.0545900584458394,0.568563771756291,0.47113383278075,0.169397491200874,0.50499529279973,0,1,FALSE
"32","1_88_10",0,0.0308507820878616,0.641040934512532,1.03556488901482,0.0546239934771274,0.563323672587756,0.480788135070014,0.171608348881518,0.493378937108938,0,1,FALSE
"33","1_88_18",0,0.0306847639163739,0.644069993951176,1.03314917052387,0.0545846727865522,0.569350133418928,0.471957467242987,0.167655335193743,0.505157379270098,0,1,FALSE
"34","1_89_10",0,0.0312852155817863,0.642447202478019,1.04084126381436,0.0546277192663284,0.58339668962149,0.490305597125006,0.171534173793306,0.563098130651319,0,1,FALSE
"35","1_89_14",0,0.031149639338093,0.665820626163895,1.1006123666696,0.054044534418578,0.614141953203906,0.534131625033438,0.164894191479401,0.530818103775964,0,1,FALSE
"36","1_89_15",0,0.0320043449076787,0.633309689530889,1.03344923034198,0.0545255853354414,0.589033874419172,0.510023297601783,0.197398173636042,0.496473051695513,0,1,FALSE
"37","1_89_17",0,0.0334482274521926,0.631785225518086,1.02609160176979,0.054547186309588,0.603940277139719,0.512048617095669,0.199004337935863,0.448443099167886,0,1,FALSE
"38","1_90_10",0,0.0311425094638391,0.651548816996279,1.03218587738487,0.0545461505666161,0.550392793753105,0.442295178664258,0.161831735763647,0.490230042789189,0,1,FALSE
"39","1_90_2",0,0.03084620921755,0.641626570032391,1.03074871913593,0.0546110600246543,0.564628280303265,0.482252603600912,0.171335938428822,0.493428882164348,0,1,FALSE
"40","1_90_4",0,0.0326614618940965,0.627470318741423,1.02893042743513,0.0545448870815915,0.63741660184502,0.496860523870646,0.212297380656077,0.561952644502704,0,1,FALSE
