"","solID","mape","decomp.rssd","nrmse","nrmse_test","nrmse_train","fb_adv","fb_awareness","fb_consideration","fb_intent","fb_loyalty","ga_brand","ga_other","ga_nonbrand","ga_shoppmax","tiktok_cost","influencer_cost","other_cost","cluster","top_sol"
"39","2_262_4",0,0.0849225224938819,0.973551260685141,1.37014781754115,0.0671123574452579,0.731782768849623,0.158131284782434,0.243132373497131,0.125773991931265,0.454835156158792,0.199085596383186,0.100389131313122,0.262404808060141,0.435628184865959,0.299177863858641,0.505635939178296,0.187923031723179,7,FALSE
"40","2_268_2",0,0.0694980827860904,0.980046633845196,1.39254325964794,0.0699665649079294,0.765959852651025,0.151597220990713,0.282884028198361,0.18214970254936,0.468598999252776,0.0966066194330494,0.219847431729316,0.253472488398474,0.416053832236046,0.263044471228556,0.69836692237662,0.19929689337106,5,FALSE
"41","2_271_1",0,0.0893258868368578,0.970806540279596,1.37482978688837,0.0681332537141219,0.739362449944342,0.148955910661699,0.253178653142976,0.134976465883824,0.490362372473976,0.197924140489372,0.0984085787248341,0.281037569473537,0.429712133634497,0.306145774534209,0.441881983817337,0.255601175894961,7,FALSE
"42","2_271_2",0,0.0898005404171154,0.970480745284985,1.35691749011008,0.0625300417953204,0.727426926122327,0.0786351700471414,0.190150843769811,0.132208954706819,0.444477850053224,0.289103814027134,0.0870934782401184,0.19983863863834,0.37248466875209,0.289279569467933,0.641554569937481,0.194062630665151,11,FALSE
"43","2_271_4",0,0.0860592939539309,0.975886861590788,1.38042138246495,0.0686053663226201,0.748456455044553,0.139422836047842,0.508458516924159,0.223714210578365,0.447296345753299,0.19438893597794,0.152760375927867,0.230806238378026,0.353622697696243,0.304093963225081,0.578181210173594,0.274182624589983,14,FALSE
"44","2_271_7",0,0.0778454729119715,0.979525403534749,1.38889111725862,0.0698374735733543,0.705389544828154,0.0910904880473782,0.196914441924858,0.169982397679753,0.530417879702279,0.0570592664755831,0.143823517635821,0.242714550118944,0.316658202840567,0.255376259802939,0.533876678203315,0.194943345105719,5,FALSE
"45","2_272_4",0,0.0739477094556423,0.981566067712644,1.39806529197886,0.0699551485777132,0.759584108785632,0.153087894520085,0.286545129888805,0.175280705572721,0.465512610632006,0.0932715739234159,0.117636817494061,0.25147954851389,0.464829604180124,0.260474828448937,0.924890058359944,0.335514941152489,11,FALSE
"46","2_274_5",0,0.0813219789968735,0.972009518957246,1.3746397950715,0.0665245327631636,0.744560480996082,0.190369852982877,0.425249479777698,0.300969999401832,0.378032710028303,0.16690413743671,0.0696186719545713,0.268209383533622,0.44706107145105,0.292035161007132,0.716554990313261,0.445672538264832,14,FALSE
"47","2_276_6",0,0.0726030897914584,0.980406341328649,1.39447415855139,0.0706472034516694,0.790852680626078,0.166776532828278,0.286097109289347,0.262880780016369,0.390568124979335,0.0713899868077311,0.122222832270767,0.277330691080928,0.502958850233893,0.280810041659811,0.703948693564194,0.187998289414829,5,FALSE
"48","2_278_1",0,0.0822090475479769,0.980233934933935,1.37901276369285,0.0677317351164392,0.747102331091061,0.302661277208254,0.188037088094455,0.202612276051703,0.40019031242786,0.106143713080293,0.160042372643552,0.22367738688038,0.534065917783911,0.302466931315748,0.619080446569415,0.217120775496674,16,FALSE
