"","email_sms_campaign_alphas","email_sms_campaign_gammas","email_sms_campaign_thetas","fb_adv_alphas","fb_adv_gammas","fb_adv_thetas","fb_awareness_alphas","fb_awareness_gammas","fb_awareness_thetas","fb_consideration_alphas","fb_consideration_gammas","fb_consideration_thetas","fb_intent_alphas","fb_intent_gammas","fb_intent_thetas","fb_loyalty_alphas","fb_loyalty_gammas","fb_loyalty_thetas","ga_brand_alphas","ga_brand_gammas","ga_brand_thetas","ga_nonbrand_alphas","ga_nonbrand_gammas","ga_nonbrand_thetas","ga_other_alphas","ga_other_gammas","ga_other_thetas","ga_shoppmax_alphas","ga_shoppmax_gammas","ga_shoppmax_thetas","influencer_cost_alphas","influencer_cost_gammas","influencer_cost_thetas","organic_impressions_alphas","organic_impressions_gammas","organic_impressions_thetas","other_cost_alphas","other_cost_gammas","other_cost_thetas","tiktok_cost_alphas","tiktok_cost_gammas","tiktok_cost_thetas","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","pos","Elapsed","ElapsedAccum","solID","trial","iterNG","iterPar","iterations","coef0","mape.qt10","robynPareto","error_score","cluster","top_sol"
"11",2.41062,0.9482385,0.1566549,2.073295,0.7960165,0.5401845,1.058825,0.7695208,0.47204,2.0931725,0.4474844,0.566833,0.9049875,0.5829953,0.5093625,2.6694825,0.6891293,0.417995,2.8515425,0.846728,0.503508,2.546005,0.5637901,0.7935745,1.7790675,0.4957389,0.562598,2.4113575,0.4375626,0.6438565,0.8185625,0.7832947,0.1827789,2.79894,0.5716525,0.1028118,1.2926075,0.7468303,0.5176225,1.23124,0.8320119,0.0392091,0.6716744,0.573040761057495,0.00850612439353204,0.0464129497706037,0.066591670874301,0.97596999331615,1.37540229961908,0.97596999331615,0.0858030683845839,0,169126.351565832,0.0268151,6284323.78266842,1e-04,1,0.225227117538452,59.8586411476135,"2_211_2",2,211,2,1472,FALSE,TRUE,4,0.186822441086214,11,FALSE
"12",2.262755,0.9589471,0.1574049,2.3276725,0.8026847,0.5557895,0.9813525,0.8324557,0.616941,1.3216425,0.6300241,0.5919825,0.77179,0.5651376,0.603011,2.4583425,0.761965,0.3843335,2.898535,0.9661529,0.5508695,2.83015,0.4408813,0.7895775,2.05951,0.7555579,0.439107,2.325125,0.9525876,0.7167835,0.742371,0.7613672,0.1279794,1.93259,0.4656956,0.2325783,1.5572,0.5889572,0.5194155,1.0708125,0.9228775,0.0979458,0.6698498,0.492792614937083,-0.0149421103929901,0.00906377606510489,0.0726756758454668,0.985726593591594,1.40731820795461,0.985726593591594,0.0706170015640766,0,268959.818182637,0.0427028,6284323.78266842,1e-04,1,0.184272050857544,60.3310680389404,"2_213_6",2,213,6,1490,FALSE,TRUE,2,0.229025505999648,5,FALSE
"13",2.3268075,0.9371421,0.1543719,2.85264,0.7458615,0.546782,0.9693825,0.9118287,0.519755,2.00177,0.4679979,0.5943385,0.637363,0.5601081,0.580629,2.3174475,0.8006225,0.5237245,2.9380075,0.7964911,0.3820775,2.8831275,0.4193871,0.7200405,2.95213,0.9802089,0.3683155,2.176135,0.8308506,0.7263125,1.2563875,0.654753,0.2313804,2.7437125,0.5778867,0.065352,1.2295275,0.6844365,0.5078325,1.2241375,0.8353439,0.0374133,0.6712787,0.604644566257216,0.013782982597166,0.0659690079447672,0.0641638110211084,0.971677359233291,1.36631267682183,0.971677359233291,0.0865807468253663,0,147555.682167356,0.0233823,6284323.78266842,1e-04,1,0.18117094039917,60.5580351352692,"2_214_2",2,214,2,1493,FALSE,TRUE,1,0.174793772998348,11,FALSE
"14",2.3711175,0.9487474,0.148038,2.43062,0.7917066,0.5263085,1.1304125,0.7710979,0.38759,1.2733375,0.5973306,0.5890095,0.58922325,0.5763152,0.6337875,2.37698,0.7960704,0.395343,2.8893475,0.7999638,0.4607675,2.82609,0.4483895,0.7187145,2.4687675,0.6524416,0.5261945,2.5994125,0.8244694,0.6907915,0.72763525,0.7043627,0.1380078,2.200785,0.5261343,0.1725114,1.2393525,0.9064226,0.511503,1.254805,0.8422669,0.02923818,0.6710846,0.569217542059281,-0.00321763870617064,0.0379212372869941,0.0669769397015215,0.980016566301224,1.38667526356869,0.980016566301224,0.0826208498098206,0,176865.35075925,0.0280467,6284323.78266842,1e-04,1,0.178973913192749,60.5565130710602,"2_214_3",2,214,3,1494,FALSE,TRUE,4,0.201724858328227,11,FALSE
"15",2.387545,0.9804434,0.1483503,2.350515,0.7978316,0.5522375,0.9581025,0.8515258,0.61196,1.4727375,0.5991884,0.605569,1.0455275,0.36208846,0.4910445,2.7436675,0.5634751,0.5299185,2.8814575,0.7543182,0.438578,2.561655,0.5369213,0.776675,1.9153925,0.3824747,0.5760705,2.4338175,0.7472601,0.735531,1.201055,0.7578784,0.1772988,2.8225775,0.6316908,0.093519,1.1122075,0.9086038,0.4657745,1.088375,0.8982963,0.02773401,0.6718154,0.582221543852008,0.0159956744276017,0.0564426658380269,0.0658718293517158,0.972276862962333,1.36815002001291,0.972276862962333,0.0855140582936258,0,162409.709605907,0.0257462,6284323.78266842,1e-04,1,0.234076976776123,62.1852600574493,"2_220_1",2,220,1,1534,FALSE,TRUE,3,0.177215040063382,5,TRUE
"16",2.204465,0.9804371,0.1585701,2.1536125,0.7828887,0.5257575,1.008785,0.8173581,0.516188,1.474645,0.6372222,0.579863,0.812455,0.461812,0.5927025,2.533115,0.8452748,0.3864945,2.961915,0.9700246,0.64886,2.6545825,0.4704661,0.766608,1.907325,0.62634,0.3730065,2.2118675,0.7592581,0.784282,0.52329005,0.8444943,0.0843036,1.520935,0.4844556,0.0496917,1.2315025,0.9496777,0.5005105,1.2561275,0.9270754,0.0493284,0.669134,0.47930153937406,-0.015026230588687,0.00366548538862432,0.0737362715052419,0.984867600662608,1.41446783370423,0.984867600662608,0.0733214907985554,0,277531.407009968,0.0440669,6284323.78266842,1e-04,1,0.203939199447632,62.1575541496277,"2_220_4",2,220,4,1537,FALSE,TRUE,4,0.238501632956802,5,FALSE
"17",2.4695025,0.9681374,0.1499985,1.9685275,0.809334,0.5499025,1.1968775,0.6951794,0.5012,1.4981425,0.4966258,0.596415,1.028615,0.7053616,0.3686575,2.2882925,0.8899152,0.3790285,2.96117,0.9449611,0.556162,2.2746325,0.4660589,0.795536,2.2658225,0.690768,0.6470465,1.7001125,0.8090085,0.6802635,1.6663075,0.7575823,0.263874,2.61373,0.6115119,0.02277195,1.2281175,0.854876,0.5261555,1.4319075,0.7689363,0.1561269,0.6732056,0.645883012521233,0.034525344629558,0.0931131552640724,0.0606457099799225,0.960965127965234,1.34645052540928,0.960965127965234,0.093407947178671,0,89939.2227614758,0.0142131,6284323.78266842,1e-04,1,0.205924034118652,62.4335551261902,"2_221_6",2,221,6,1546,FALSE,TRUE,2,0.148606179630453,16,TRUE
"18",2.3268075,0.9286546,0.1541364,2.76116,0.7202611,0.565729,0.96865,0.9641054,0.5652885,1.990505,0.4047046,0.613414,0.54351375,0.7168346,0.642009,1.834245,0.8006225,0.5237245,2.9380075,0.7964911,0.3820775,2.8831275,0.4193871,0.7200405,2.95213,0.9802089,0.3683155,2.176135,0.8308506,0.7263125,1.2563875,0.654753,0.2313804,2.7437125,0.5778867,0.065352,1.2295275,0.6844365,0.5078325,1.2241375,0.8353439,0.0374133,0.6712787,0.602189305368188,0.013574242671647,0.0691426056101743,0.0643627396930742,0.971780185043765,1.36398951180347,0.971780185043765,0.0909507096909222,0,147555.682167356,0.0233823,6284323.78266842,1e-04,1,0.201167106628418,62.6891751289368,"2_222_6",2,222,6,1553,FALSE,TRUE,4,0.171775319498976,11,FALSE
"19",2.349945,0.9417929,0.1488846,2.4984275,0.8164852,0.5453105,0.9763625,0.9039033,0.5076135,1.942755,0.4783159,0.6076305,0.632744,0.5597133,0.564265,2.3602225,0.7802476,0.5208525,2.9395325,0.7660628,0.397589,2.8407025,0.3720279,0.724705,2.7349675,0.9363672,0.3795545,2.0665975,0.9785947,0.6789325,1.37832,0.6871448,0.2153475,2.575255,0.5504502,0.0942033,1.419715,0.5458281,0.5124655,1.1385925,0.8374649,0.0433629,0.6709667,0.605336176552754,0.01145630284481,0.0671495600668679,0.0641076643581087,0.972822872929046,1.36544894031416,0.972822872929046,0.0862821699413795,0,143401.531171279,0.0227212,6284323.78266842,1e-04,1,0.230732917785645,62.9933440685272,"2_223_3",2,223,3,1557,FALSE,TRUE,4,0.173646587126811,16,FALSE
"20",2.28759,0.9862653,0.1502481,1.95238,0.8203814,0.5394825,1.0854775,0.75199,0.535437,1.3516,0.6276322,0.5744115,0.7279145,0.5794176,0.6111345,2.59102,0.7544792,0.32513715,2.8963775,0.9324339,0.564499,2.6925,0.3955122,0.7808055,1.75075,0.4673672,0.4239835,2.617655,0.8250875,0.70411,0.66947,0.7996768,0.0820503,1.5521025,0.447602,0.2985567,1.2926075,0.7468303,0.5176225,1.23124,0.8320119,0.0392091,0.6716744,0.554084697723641,-0.0122839743261134,0.0221149169115882,0.0680538802064743,0.986149202973321,1.39281515766217,0.986149202973321,0.0730454165608077,0,169126.351565832,0.0268151,6284323.78266842,1e-04,1,0.210340023040771,63.2376511096954,"2_224_1",2,224,1,1562,FALSE,TRUE,4,0.209813032257424,11,FALSE
